id,group,group_index,is_abbreviate,reward,scene,show_progress,task_button,task_condition,task_condition_num,task_condition_para,task_discription,task_guide,task_guide_num,task_icon,task_inherit,taskConditionNumArr,taskGuideNumArr
10101,101,1,-1,5402,-1,1,0,1020,[10],,task_achievement_desc_10101,-1,,,-1,[10],[]
10102,101,2,-1,5402,-1,1,0,1020,[20],,task_achievement_desc_10102,-1,,,-1,[20],[]
10103,101,3,-1,5402,-1,1,0,1020,[30],,task_achievement_desc_10103,-1,,,-1,[30],[]
10104,101,4,-1,5402,-1,1,0,1020,[40],,task_achievement_desc_10104,-1,,,-1,[40],[]
10105,101,5,-1,5402,-1,1,0,1020,[45],,task_achievement_desc_10105,-1,,,-1,[45],[]
10106,101,6,-1,5402,-1,1,0,1020,[50],,task_achievement_desc_10106,-1,,,-1,[50],[]
10107,101,7,-1,5402,-1,1,0,1020,[55],,task_achievement_desc_10107,-1,,,-1,[55],[]
10108,101,8,-1,5402,-1,1,0,1020,[60],,task_achievement_desc_10108,-1,,,-1,[60],[]
10201,102,1,-1,5402,-1,1,0,1012,[2],,task_achievement_desc_10201,-1,,,-1,[2],[]
10202,102,2,-1,5402,-1,1,0,1012,[4],,task_achievement_desc_10202,-1,,,-1,[4],[]
10203,102,3,-1,5402,-1,1,0,1012,[7],,task_achievement_desc_10203,-1,,,-1,[7],[]
10204,102,4,-1,5402,-1,1,0,1012,[10],,task_achievement_desc_10204,-1,,,-1,[10],[]
10205,102,5,-1,5402,-1,1,0,1012,[15],,task_achievement_desc_10205,-1,,,-1,[15],[]
10206,102,6,-1,5402,-1,1,0,1012,[20],,task_achievement_desc_10206,-1,,,-1,[20],[]
10207,102,7,-1,5402,-1,1,0,1012,[30],,task_achievement_desc_10207,-1,,,-1,[30],[]
10208,102,8,-1,5402,-1,1,0,1012,[45],,task_achievement_desc_10208,-1,,,-1,[45],[]
10301,103,1,-1,5402,1,1,1,21,[3|1],,task_achievement_desc_103,1,[114],,1,[3|1],[114]
10302,103,2,-1,5402,1,1,1,21,[3|5],,task_achievement_desc_103,1,[114],,1,[3|5],[114]
10303,103,3,-1,5402,1,1,1,21,[3|10],,task_achievement_desc_103,1,[114],,1,[3|10],[114]
10304,103,4,-1,5402,1,1,1,21,[3|20],,task_achievement_desc_103,1,[114],,1,[3|20],[114]
10305,103,5,-1,5402,1,1,1,21,[3|30],,task_achievement_desc_103,1,[114],,1,[3|30],[114]
10306,103,6,-1,5402,1,1,1,21,[3|50],,task_achievement_desc_103,1,[114],,1,[3|50],[114]
10307,103,7,-1,5402,1,1,1,21,[3|80],,task_achievement_desc_103,1,[114],,1,[3|80],[114]
