id,group_limit,group_limit_num,group_order,group_pre,tab_id,task_count
101,-1,,101,-1,101,8
102,-1,,102,-1,101,8
103,-1,,103,-1,101,8
104,-1,,104,-1,101,8
105,-1,,105,-1,101,8
106,-1,,105,-1,212,1
107,-1,,104,-1,212,1
201,-1,,201,-1,102,7
203,-1,,203,-1,102,8
204,-1,,204,-1,102,8
205,-1,,205,-1,102,8
206,-1,,206,-1,102,8
301,-1,,301,-1,103,5
302,-1,,302,-1,103,6
303,-1,,303,-1,103,6
304,-1,,304,-1,103,8
305,-1,,305,-1,103,10
311,-1,,311,-1,103,5
313,-1,,313,-1,103,5
315,-1,,315,-1,103,5
401,-1,,401,-1,104,9
402,-1,,402,-1,104,9
501,-1,,501,-1,105,7
502,-1,,502,-1,105,7
503,-1,,503,-1,105,7
504,-1,,504,-1,105,7
505,-1,,505,-1,105,7
506,-1,,506,-1,105,5
507,-1,,507,-1,105,7
508,-1,,508,-1,105,4
509,-1,,509,-1,105,4
510,-1,,510,-1,105,4
511,-1,,511,-1,105,4
512,-1,,512,-1,105,4
1101,-1,,1101,-1,201,3
1103,-1,,1103,-1,201,4
1104,-1,,1104,-1,201,5
1105,-1,,1105,-1,201,6
1201,-1,,1201,-1,202,3
1202,-1,,1202,-1,202,6
1203,-1,,1203,-1,202,7
1204,-1,,1204,-1,202,8
1205,-1,,1205,-1,202,8
1301,-1,,1301,-1,203,3
1302,-1,,1302,-1,203,6
1303,-1,,1303,-1,203,8
1304,-1,,1304,-1,203,8
1305,-1,,1305,-1,203,8
1402,-1,,1402,-1,204,6
1403,-1,,1403,-1,204,6
1404,-1,,1404,-1,204,8
1405,-1,,1405,-1,204,8
1502,-1,,1502,-1,205,6
1503,-1,,1503,-1,205,9
1504,-1,,1504,-1,205,8
1505,-1,,1505,-1,205,8
1601,-1,,1601,-1,206,1
1602,-1,,1602,-1,206,1
1603,-1,,1603,-1,206,1
1604,-1,,1604,-1,206,1
1605,-1,,1605,-1,206,1
1606,-1,,1606,-1,206,1
1607,-1,,1607,-1,206,1
1608,-1,,1608,-1,206,1
1609,-1,,1609,-1,206,1
1610,-1,,1610,-1,206,1
1611,-1,,1611,-1,206,1
1612,-1,,1612,-1,206,1
1613,-1,,1613,-1,206,1
1614,-1,,1614,-1,206,1
1615,-1,,1615,-1,206,1
1616,-1,,1616,-1,206,1
1617,-1,,1617,-1,206,1
1618,-1,,1618,-1,206,1
1619,-1,,1619,-1,206,1
1620,-1,,1620,-1,206,1
1621,-1,,1621,-1,206,1
1622,-1,,1622,-1,206,1
1623,-1,,1623,-1,206,1
1624,-1,,1624,-1,206,1
1625,-1,,1625,-1,206,1
1626,-1,,1626,-1,206,1
1627,-1,,1627,-1,206,1
1628,-1,,1628,-1,206,1
1629,-1,,1629,-1,206,1
1630,-1,,1630,-1,206,1
1631,-1,,1631,-1,206,1
1632,-1,,1632,-1,206,1
1633,-1,,1633,-1,206,1
1634,-1,,1634,-1,206,1
1635,-1,,1635,-1,206,1
1636,-1,,1636,-1,206,1
1637,-1,,1637,-1,206,1
1638,-1,,1638,-1,206,1
1639,-1,,1639,-1,206,1
1640,-1,,1640,-1,206,1
1701,-1,,1701,-1,207,1
1702,-1,,1702,-1,207,1
1703,-1,,1703,-1,207,1
1704,-1,,1704,-1,207,1
1705,-1,,1705,-1,207,1
1706,-1,,1706,-1,207,1
