id,condition_param,condition_type,conditions,reward,tab_icon,tab_name
101,,-1,[],5501,cj_001,task_achievement_tab_101
102,,-1,[],5502,cj_002,task_achievement_tab_102
103,,-1,[],5503,cj_003,task_achievement_tab_103
104,,-1,[],5509,cj_001,task_achievement_tab_104
105,,-1,[],5510,cj_002,task_achievement_tab_105
201,,-1,[],5504,cj_004,task_achievement_tab_201
202,[10301|9910301|8810301],1,[10301|9910301|8810301],5505,cj_005,task_achievement_tab_201
203,[10501],1,[10501],5506,cj_006,task_achievement_tab_201
204,[10701],1,[10701],5507,cj_007,task_achievement_tab_201
205,[10901],1,[10901],5508,cj_008,task_achievement_tab_201
206,,2,[],-1,cj_008,task_achievement_tab_201
207,,2,[],-1,cj_008,task_achievement_tab_201
208,,2,[],-1,cj_008,task_achievement_tab_201
209,,2,[],-1,cj_008,task_achievement_tab_201
210,,2,[],-1,cj_008,task_achievement_tab_201
211,,2,[],-1,cj_008,task_achievement_tab_201
212,,3,[],-1,cj_001,task_achievement_tab_212
