id,IsAutoFinish,IsShowInTeleBubble,taskConditionVo,arrow_offset,Atlas,chapter_id,coordinate,coordinates,icon,inherit_type,is_auto_finish,is_change,is_close,is_land_guide,is_show_hand,is_transform_bubble,jumpParams,link_task,map_id,offsetPos,param1,param2,point,portal_use,portal_use2,reward,scene,show_progress,task_condition,task_condition_num,task_discription,task_group,task_guide,task_guide_mun,task_guide_mun2,task_guide2,task_order,task_show_quality,task_type,taskConditionType,unlock_building,unlock_id
1001,true,false,TaskCondition_KillMonsterLogic,,Atlas/UI_Monster_Head,1,[32|70],[32|70],Head_60109,-1,1,991001,1,1,-1,-1,[10111],1,1,,10111,3,-1,,,3001,1,1,6,10111|3,task_dec_1,1,3,[10111],[10111],3,-1,-1,1,MonsterKillStatic,,
991001,true,false,TaskCondition_KillMonsterLogic,,Atlas/UI_Monster_Head,1,[32|70],[32|70],Head_60109,-1,1,-1,-1,1,-1,-1,[10111],1,991,,10111,3,-1,,,3001,1,1,6,10111|3,task_dec_1,1,3,[10111],[10111],3,-1,-1,1,MonsterKillStatic,,
881001,true,false,TaskCondition_KillMonsterLogic,,Atlas/UI_Monster_Head,1,[32|70],[32|70],Head_60109,-1,1,-1,-1,1,-1,-1,[10111],1,881,,10111,3,-1,,,3001,1,1,6,10111|3,task_dec_1,1,3,[10111],[10111],3,-1,-1,1,MonsterKillStatic,,
1002,true,false,TaskConditionBaseVO,,Atlas/UI_Hero_Head,1,[32|70],[32|70],Head_10002,-1,1,991002,1,1,-1,-1,[101],2,1,,101,0,-1,,,3014,1,1,2,101,task_dec_gongjianshou,1,5,[101],[101],5,-1,-1,1,EventFinish,,1001
991002,true,false,TaskConditionBaseVO,,Atlas/UI_Hero_Head,1,[32|70],[32|70],Head_10002,-1,1,-1,-1,1,-1,-1,[99101],2,991,,99101,0,-1,,,3014,1,1,2,99101,task_dec_gongjianshou,1,5,[99101],[101],5,-1,-1,1,EventFinish,,991001
881002,true,false,TaskConditionBaseVO,,Atlas/UI_Hero_Head,1,[32|70],[32|70],Head_10002,-1,1,-1,-1,1,-1,-1,[88101],2,881,,88101,0,-1,,,3027,1,1,2,88101,task_dec_gongjianshou,1,5,[88101],[101],5,-1,-1,1,EventFinish,,881001
1003,true,false,TaskCondition_CollectResourceLogic,,Atlas/UI_Item,1,[32|70],[32|70],icon_20001,-1,1,991003,1,1,-1,-1,[10111],3,1,,3,10,-1,,,3027,1,1,3,3|10,task_dec_3,1,3,[10111],[10211],3,-1,-1,1,ResourceCollectStatic,,1002
991003,true,false,TaskCondition_CollectResourceLogic,,Atlas/UI_Item,1,[32|70],[32|70],icon_20001,-1,1,-1,-1,1,-1,-1,[10111],3,991,,3,10,-1,,,3027,1,1,3,3|10,task_dec_3,1,3,[10111],[10111],3,-1,-1,1,ResourceCollectStatic,,991002
881003,true,false,TaskCondition_CollectResourceLogic,,Atlas/UI_Item,1,[32|70],[32|70],icon_20001,-1,1,-1,-1,1,-1,-1,[10111],3,881,,3,10,-1,,,3027,1,1,3,3|10,task_dec_3,1,3,[10111],[10111],3,-1,-1,1,ResourceCollectStatic,,881002
1028,false,false,TaskConditionBaseVO,,Atlas/UI_Item,1,[32|70],[32|70],icon_20001,-1,-1,991005,1,-1,-1,-1,[10801],,1,,1,0,-1,,,-1,1,1,15,1,task_dec_hero_lvup,1,16,[10801],[10801],16,-1,-1,1,15,,
