id,charter_name,charter_picture,reward,reward_daily,show_chapter
1,task_chapter_name_011,Textures/Task/chapter_banner01,60000,60000,1
2,task_chapter_name_001,Textures/Task/chapter_banner01,60000,60000,2
3,task_chapter_name_002,Textures/Task/chapter_banner02,60000,60000,3
4,task_chapter_name_003,Textures/Task/chapter_banner03,60000,60000,4
5,task_chapter_name_004,Textures/Task/chapter_banner04,60000,60000,5
6,task_chapter_name_005,Textures/Task/chapter_banner05,60000,60000,6
7,task_chapter_name_006,Textures/Task/chapter_banner06,60000,60000,7
8,task_chapter_name_007,Textures/Task/chapter_banner07,60000,60000,8
9,task_chapter_name_008,Textures/Task/chapter_banner08,60000,60000,9
10,task_chapter_name_009,Textures/Task/chapter_banner09,60000,60000,10
11,task_chapter_name_010,Textures/Task/chapter_banner10,60000,60000,11
101,task_chapter_name_101,Textures/Task/chapter_banner_build_01,60000,60000,1
102,task_chapter_name_102,Textures/Task/chapter_banner_build_02,60000,60000,2
103,task_chapter_name_103,Textures/Task/chapter_banner_build_03,60000,60000,3
104,task_chapter_name_104,Textures/Task/chapter_banner_build_05,60000,60000,4
105,task_chapter_name_105,Textures/Task/chapter_banner_build_06,60000,60000,5
106,task_chapter_name_106,Textures/Task/chapter_banner_build_07,60000,60000,6
107,task_chapter_name_107,Textures/Task/chapter_banner_build_08,60000,60000,7
