id,taskConditionVo,alert_tips,canJumpTo,need_round,point,progress_desc,progress_isopen,reward,scene,show_limit,show_limit_num,show_progress,showNums,showProgress,tack_refresh,task_button,task_condition,task_condition_num,task_condition_para,task_count,task_discription,task_group,task_guide,task_guide_mun,task_icon,task_limit,task_limit_num,task_order,task_pre,task_server,task_type,taskConditionType
10180,TaskConditionBaseVO,,true,,150,,-1,5021,2,3,[116],1,[116],true,0,0,50,5,,0,task_daily_dec_10180,9999,12,[116],,2,1,10,0,,2,50
10010,TaskConditionBaseVO,,true,,150,,-1,5001,1,1,[1],1,[1],true,0,0,8,100,,0,task_daily_dec_10010,9999,3,[10511|10711|10611|20111|20211|20221|20311|20421|20511|20711|20811|20911],,2,1,20,0,,2,8
10020,TaskConditionBaseVO,,true,,150,,-1,5002,1,1,[1],1,[1],true,0,0,9,3,,0,task_daily_dec_10020,9999,3,[15111|25111|25121],,2,1,30,0,,2,9
10030,TaskConditionBaseVO,,true,,150,,-1,5003,1,1,[15],1,[15],true,0,0,10,2,,0,task_daily_dec_10030,9999,1,[113],,2,1,40,0,"1-999,10001-10107,1001-1004",2,10
10040,TaskConditionBaseVO,,false,,150,,-1,5004,-1,1,[1],1,[1],true,0,1,12,1,,0,task_daily_dec_10040,9999,-1,,,2,1,50,0,,2,12
10050,TaskConditionBaseVO,,true,,150,,-1,5005,1,1,[1],1,[1],true,0,0,14,1,,0,task_daily_dec_10050,9999,1,[115],,2,1,60,0,,2,14
10060,TaskConditionBaseVO,,true,,150,,-1,5006,-1,1,[10],1,[10],true,0,0,13,1,,0,task_daily_dec_10060,9999,12,[207],,2,1,70,0,,2,13
10070,TaskConditionBaseVO,,true,,150,,-1,5007,2,3,[106],1,[106],true,0,0,26,5,,0,task_daily_dec_10070,9999,7,[4],,2,1,80,0,,2,26
10150,TaskConditionBaseVO,,true,,150,,-1,5021,2,3,[106],1,[106],true,0,0,33,1000,,0,task_daily_dec_11110,9999,8,[101],,2,1,90,0,,2,33
10160,TaskConditionBaseVO,,true,,150,,-1,5021,-1,3,[42],1,[42],true,-1,0,70,2,,0,task_daily_dec_10160,9999,14,[0|318],,2,1,100,0,"1-999,10001-10106",2,70
10170,TaskConditionBaseVO,,true,,150,,-1,5021,1,1,[1],1,[1],true,0,0,65,1,,0,task_daily_dec_10170,9999,1,[117],,2,1,110,0,,2,65
