id,required_activity,required_num,reward_group,reward_icon_available,reward_icon_processing,reward_icon_received,reward_id,reward_show,task_group,task_limit,task_limit_num,taskProgressRewardType,type
10129,30,20,-1,UI/ItemIcon/icon_baoxiang1,UI/ItemIcon/icon_baoxiang1-1,UI/ItemIcon/icon_baoxiang01,5101,5101,1,2,1,Common,2
10130,50,40,-1,UI/ItemIcon/icon_baoxiang2,UI/ItemIcon/icon_baoxiang2-2,UI/ItemIcon/icon_baoxiang02,5102,5102,1,2,1,Common,2
10131,70,60,-1,UI/ItemIcon/icon_baoxiang3,UI/ItemIcon/icon_baoxiang3-3,UI/ItemIcon/icon_baoxiang03,5103,5103,1,2,1,Special,2
10132,90,100,-1,UI/ItemIcon/icon_baoxiang4,UI/ItemIcon/icon_baoxiang4-4,UI/ItemIcon/icon_baoxiang04,5104,5104,1,2,1,Special,2
10133,100,150,-1,UI/ItemIcon/icon_baoxiang4,UI/ItemIcon/icon_baoxiang4-4,UI/ItemIcon/icon_baoxiang04,5105,5105,1,2,1,Special,2
30003,10,1,-1,UI/ItemIcon/icon_baoxiang1,UI/ItemIcon/icon_baoxiang1-1,UI/ItemIcon/icon_baoxiang01,5301,5301,1,2,1,Common,3
30000,20,2,-1,UI/ItemIcon/icon_baoxiang2,UI/ItemIcon/icon_baoxiang2-2,UI/ItemIcon/icon_baoxiang02,5302,5302,1,2,1,Common,3
30001,50,5,-1,UI/ItemIcon/icon_baoxiang3,UI/ItemIcon/icon_baoxiang3-3,UI/ItemIcon/icon_baoxiang03,5303,5303,1,2,1,Special,3
30002,70,8,-1,UI/ItemIcon/icon_baoxiang4,UI/ItemIcon/icon_baoxiang4-4,UI/ItemIcon/icon_baoxiang04,5304,5304,1,2,1,Special,3
40000,10,1,-1,UI/ItemIcon/icon_baoxiang1,UI/ItemIcon/icon_baoxiang1-1,UI/ItemIcon/icon_baoxiang01,5301,5301,1,2,1,Common,4
40001,20,2,-1,UI/ItemIcon/icon_baoxiang2,UI/ItemIcon/icon_baoxiang2-2,UI/ItemIcon/icon_baoxiang02,5302,5302,1,2,1,Common,4
40002,30,3,-1,UI/ItemIcon/icon_baoxiang3,UI/ItemIcon/icon_baoxiang3-3,UI/ItemIcon/icon_baoxiang03,5303,5303,1,2,1,Common,4
40003,40,4,-1,UI/ItemIcon/icon_baoxiang4,UI/ItemIcon/icon_baoxiang4-4,UI/ItemIcon/icon_baoxiang04,5304,5304,1,2,1,Special,4
90001,3,3,-1,UI/ItemIcon/icon_baoxiang1,UI/ItemIcon/icon_baoxiang1-1,UI/ItemIcon/icon_baoxiang01,604129101,604129101,-1,-1,,Common,15
90002,6,6,-1,UI/ItemIcon/icon_baoxiang2,UI/ItemIcon/icon_baoxiang2-2,UI/ItemIcon/icon_baoxiang02,604129102,604129102,-1,-1,,Common,15
90003,9,9,-1,UI/ItemIcon/icon_baoxiang3,UI/ItemIcon/icon_baoxiang3-3,UI/ItemIcon/icon_baoxiang03,604129103,604129103,-1,-1,,Special,15
90004,12,12,-1,UI/ItemIcon/icon_baoxiang4,UI/ItemIcon/icon_baoxiang4-4,UI/ItemIcon/icon_baoxiang04,604129104,604129104,-1,-1,,Special,15
90005,15,15,-1,UI/ItemIcon/icon_baoxiang4,UI/ItemIcon/icon_baoxiang4-4,UI/ItemIcon/icon_baoxiang04,604129105,604129105,-1,-1,,Special,15
