id,Atlas,chapter_id,icon,is_change,is_close,point,reward,task_discription,task_group,task_type,unlock_id
1,,-1,,-1,-1,50,60011,,-1,-1,
2,,-1,,-1,-1,100,60012,,-1,-1,
3,,-1,,-1,-1,200,60013,,-1,-1,
4,,-1,,-1,-1,300,60014,,-1,-1,
5,,-1,,-1,-1,400,60015,,-1,-1,
6,,-1,,-1,-1,500,60016,,-1,-1,
7,,-1,,-1,-1,600,60017,,-1,-1,
8,,-1,,-1,-1,700,60018,,-1,-1,
9,,-1,,-1,-1,800,60019,,-1,-1,
10,,-1,,-1,-1,1000,60020,,-1,-1,
11,,-1,,-1,-1,1200,60021,,-1,-1,
12,,-1,,-1,-1,1400,60022,,-1,-1,
13,,-1,,-1,-1,1600,60023,,-1,-1,
14,,-1,,-1,-1,1800,60024,,-1,-1,
15,,-1,,-1,-1,2000,60025,,-1,-1,
16,,-1,,-1,-1,2200,60026,,-1,-1,
17,,-1,,-1,-1,2400,60027,,-1,-1,
18,,-1,,-1,-1,2700,60028,,-1,-1,
19,,-1,,-1,-1,3000,60029,,-1,-1,
20,,-1,,-1,-1,3300,60030,,-1,-1,
21,,-1,,-1,-1,3600,60031,,-1,-1,
22,,-1,,-1,-1,3900,60032,,-1,-1,
23,,-1,,-1,-1,4200,60033,,-1,-1,
24,,-1,,-1,-1,4500,60034,,-1,-1,
25,,-1,,-1,-1,4800,60035,,-1,-1,
26,,-1,,-1,-1,5100,60036,,-1,-1,
27,,-1,,-1,-1,5400,60037,,-1,-1,
28,,-1,,-1,-1,5700,60038,,-1,-1,
29,,-1,,-1,-1,6000,60039,,-1,-1,
30,,-1,,-1,-1,6300,60040,,-1,-1,
31,,-1,,-1,-1,6600,60041,,-1,-1,
32,,-1,,-1,-1,6900,60042,,-1,-1,
33,,-1,,-1,-1,7200,60043,,-1,-1,
34,,-1,,-1,-1,7500,60044,,-1,-1,
35,,-1,,-1,-1,7800,60045,,-1,-1,
36,,-1,,-1,-1,8100,60046,,-1,-1,
37,,-1,,-1,-1,8400,60047,,-1,-1,
38,,-1,,-1,-1,8700,60048,,-1,-1,
39,,-1,,-1,-1,9000,60049,,-1,-1,
40,,-1,,-1,-1,9300,60050,,-1,-1,
