id,base_power,lev,level_up_num,para,power,race,rare,type
371101,70,1,3,3062|230,1380,1,3,1
371102,140,2,3,3062|460,2760,1,3,1
371103,210,3,3,3062|690,4140,1,3,1
371104,280,4,3,3062|920,5520,1,4,1
371105,345,5,3,3062|1150,6900,1,4,1
371106,415,6,3,3062|1380,8280,1,4,1
371107,485,7,3,3062|1610,9660,1,5,1
371108,625,8,3,3062|2073,12438,1,5,1
371109,765,9,3,3062|2536,15216,1,5,1
371110,900,10,-1,3062|3000,18000,1,6,1
371201,70,1,3,4062|230,1380,2,3,1
371202,140,2,3,4062|460,2760,2,3,1
371203,210,3,3,4062|690,4140,2,3,1
371204,280,4,3,4062|920,5520,2,4,1
371205,345,5,3,4062|1150,6900,2,4,1
371206,415,6,3,4062|1380,8280,2,4,1
371207,485,7,3,4062|1610,9660,2,5,1
371208,625,8,3,4062|2073,12438,2,5,1
371209,765,9,3,4062|2536,15216,2,5,1
371210,900,10,-1,4062|3000,18000,2,6,1
371301,70,1,3,5062|230,1380,3,3,1
371302,140,2,3,5062|460,2760,3,3,1
371303,210,3,3,5062|690,4140,3,3,1
371304,280,4,3,5062|920,5520,3,4,1
371305,345,5,3,5062|1150,6900,3,4,1
371306,415,6,3,5062|1380,8280,3,4,1
371307,485,7,3,5062|1610,9660,3,5,1
371308,625,8,3,5062|2073,12438,3,5,1
371309,765,9,3,5062|2536,15216,3,5,1
371310,900,10,-1,5062|3000,18000,3,6,1
372101,70,1,3,"3062|38,64|769",1380,1,3,2
372102,140,2,3,"3062|76,64|1538",2760,1,3,2
372103,210,3,3,"3062|114,64|2307",4140,1,3,2
372104,280,4,3,"3062|152,64|3076",5520,1,4,2
372105,345,5,3,"3062|190,64|3845",6900,1,4,2
372106,415,6,3,"3062|228,64|4614",8280,1,4,2
372107,485,7,3,"3062|266,64|5383",9660,1,5,2
372108,625,8,3,"3062|344,64|6922",12438,1,5,2
372109,765,9,3,"3062|422,64|8461",15216,1,5,2
372110,900,10,-1,"3062|500,64|10000",18000,1,6,2
372201,70,1,3,"4062|38,64|769",1380,2,3,2
372202,140,2,3,"4062|76,64|1538",2760,2,3,2
