id,property,queue,rune_lev
1,1019|10,2,1
2,1019|30,2,2
3,1019|50,2,3
4,1019|80,2,4
5,1019|110,2,5
6,1019|150,2,6
7,1019|200,2,7
8,1019|250,2,8
9,1019|300,2,9
10,1019|10,3,1
11,1019|30,3,2
12,1019|50,3,3
13,1019|80,3,4
14,1019|110,3,5
15,1019|150,3,6
16,1019|200,3,7
17,1019|250,3,8
18,1019|300,3,9
19,1019|10,4,1
20,1019|30,4,2
21,1019|50,4,3
22,1019|80,4,4
23,1019|110,4,5
24,1019|150,4,6
25,1019|200,4,7
26,1019|250,4,8
27,1019|300,4,9
28,1019|10,5,1
29,1019|30,5,2
30,1019|50,5,3
31,1019|80,5,4
32,1019|110,5,5
33,1019|150,5,6
34,1019|200,5,7
35,1019|250,5,8
36,1019|300,5,9
