id,attibute,cost,cost_times,costTimes,des,icon,needlv,num,num_times,numTimes,pre_id,race,reesearch_tiems,time,time_times,timeTimes,type
101,3,999|6|3,[999|6|20|999|6|20|999|6|20|999|6|20|999|6|20],[[999|6|20]|[999|6|20]|[999|6|20]|[999|6|20]|[999|6|20]],tech_des_attack_1,tech_1001,1,20,[0|0|0|0|0],[0|0|0|0|0],-1,1,5,5,[60|60|60|60|60],[60|60|60|60|60],1
201,4,999|6|3,[999|6|20|999|6|20|999|6|20|999|6|20|999|6|20],[[999|6|20]|[999|6|20]|[999|6|20]|[999|6|20]|[999|6|20]],tech_des_life_2,tech_1002,2,5,[0|0|0|0|0],[0|0|0|0|0],101,2,5,5,[60|60|60|60|60],[60|60|60|60|60],1
301,3,999|6|3,[999|6|20|999|6|20|999|6|20|999|6|20|999|6|20],[[999|6|20]|[999|6|20]|[999|6|20]|[999|6|20]|[999|6|20]],tech_des_attack_3,tech_1001,3,20,[0|0|0|0|0],[0|0|0|0|0],201,3,5,5,[60|60|60|60|60],[60|60|60|60|60],1
401,4,999|6|5,[999|6|40|999|6|40|999|6|40|999|6|40|999|6|40],[[999|6|40]|[999|6|40]|[999|6|40]|[999|6|40]|[999|6|40]],tech_des_life_1,tech_1002,4,5,[0|0|0|0|0],[0|0|0|0|0],301,1,5,5,[90|90|90|90|90],[90|90|90|90|90],1
501,3,999|6|5,[999|6|40|999|6|40|999|6|40|999|6|40|999|6|40],[[999|6|40]|[999|6|40]|[999|6|40]|[999|6|40]|[999|6|40]],tech_des_attack_2,tech_1001,5,20,[0|0|0|0|0],[0|0|0|0|0],401,2,5,5,[90|90|90|90|90],[90|90|90|90|90],1
601,4,999|6|5,[999|6|40|999|6|40|999|6|40|999|6|40|999|6|40],[[999|6|40]|[999|6|40]|[999|6|40]|[999|6|40]|[999|6|40]],tech_des_life_3,tech_1002,6,5,[0|0|0|0|0],[0|0|0|0|0],501,3,5,5,[90|90|90|90|90],[90|90|90|90|90],1
701,3,999|6|10,[999|6|60|999|6|60|999|6|60|999|6|60|999|6|60],[[999|6|60]|[999|6|60]|[999|6|60]|[999|6|60]|[999|6|60]],tech_des_attack_1,tech_1001,7,20,[0|0|0|0|0],[0|0|0|0|0],601,1,5,10,[120|120|120|120|120],[120|120|120|120|120],1
801,4,999|6|10,[999|6|60|999|6|60|999|6|60|999|6|60|999|6|60],[[999|6|60]|[999|6|60]|[999|6|60]|[999|6|60]|[999|6|60]],tech_des_life_2,tech_1002,8,5,[0|0|0|0|0],[0|0|0|0|0],701,2,5,10,[120|120|120|120|120],[120|120|120|120|120],1
901,3,999|6|10,[999|6|60|999|6|60|999|6|60|999|6|60|999|6|60],[[999|6|60]|[999|6|60]|[999|6|60]|[999|6|60]|[999|6|60]],tech_des_attack_3,tech_1001,9,20,[0|0|0|0|0],[0|0|0|0|0],801,3,5,10,[120|120|120|120|120],[120|120|120|120|120],1
1001,4,999|6|20,[999|6|80|999|6|80|999|6|80|999|6|80|999|6|80],[[999|6|80]|[999|6|80]|[999|6|80]|[999|6|80]|[999|6|80]],tech_des_life_1,tech_1002,10,5,[0|0|0|0|0],[0|0|0|0|0],901,1,5,10,[150|150|150|150|150],[150|150|150|150|150],1
1101,3,999|6|20,[999|6|80|999|6|80|999|6|80|999|6|80|999|6|80],[[999|6|80]|[999|6|80]|[999|6|80]|[999|6|80]|[999|6|80]],tech_des_attack_2,tech_1001,11,20,[0|0|0|0|0],[0|0|0|0|0],1001,2,5,10,[150|150|150|150|150],[150|150|150|150|150],1
1201,4,999|6|20,[999|6|80|999|6|80|999|6|80|999|6|80|999|6|80],[[999|6|80]|[999|6|80]|[999|6|80]|[999|6|80]|[999|6|80]],tech_des_life_3,tech_1002,12,5,[0|0|0|0|0],[0|0|0|0|0],1101,3,5,10,[150|150|150|150|150],[150|150|150|150|150],1
1301,3,999|6|30,[999|6|100|999|6|100|999|6|100|999|6|100|999|6|100],[[999|6|100]|[999|6|100]|[999|6|100]|[999|6|100]|[999|6|100]],tech_des_attack_1,tech_1001,13,20,[0|0|0|0|0],[0|0|0|0|0],1201,1,5,15,[180|180|180|180|180],[180|180|180|180|180],1
1401,4,999|6|30,[999|6|100|999|6|100|999|6|100|999|6|100|999|6|100],[[999|6|100]|[999|6|100]|[999|6|100]|[999|6|100]|[999|6|100]],tech_des_life_2,tech_1002,14,5,[0|0|0|0|0],[0|0|0|0|0],1301,2,5,15,[180|180|180|180|180],[180|180|180|180|180],1
1501,3,999|6|30,[999|6|100|999|6|100|999|6|100|999|6|100|999|6|100],[[999|6|100]|[999|6|100]|[999|6|100]|[999|6|100]|[999|6|100]],tech_des_attack_3,tech_1001,15,20,[0|0|0|0|0],[0|0|0|0|0],1401,3,5,15,[180|180|180|180|180],[180|180|180|180|180],1
