id,attribute,auto_finish,cost,des,effect,fightforce,isAutoFinish,lv,lvup_pre_id,lvUpCosts,lvUpPreTechs,num,quality,race,tech_building_lv,time,tree_id
1010201,1015,0,[999|4|2650|999|5|2650],technology_adv_desc_1015,-1,50,false,1,,[[999|4|2650]|[999|5|2650]],[],120,1,-1,1,478,10102
1010202,1015,0,[999|4|3400|999|5|3400],technology_adv_desc_1015,-1,100,false,2,,[[999|4|3400]|[999|5|3400]],[],120,1,-1,1,622,10102
1010203,1015,0,[999|4|4700|999|5|4700],technology_adv_desc_1015,-1,150,false,3,,[[999|4|4700]|[999|5|4700]],[],120,1,-1,1,861,10102
1010204,1015,0,[999|4|12050|999|5|12050],technology_adv_desc_1015,-1,200,false,4,,[[999|4|12050]|[999|5|12050]],[],120,1,-1,1,1891,10102
1010205,1015,0,[999|4|21200|999|5|21200],technology_adv_desc_1015,-1,250,false,5,,[[999|4|21200]|[999|5|21200]],[],120,1,-1,1,2956,10102
1020101,1012,0,[999|4|10450|999|5|10450],technology_adv_desc_1012,-1,50,false,1,[10102|1],[[999|4|10450]|[999|5|10450]],[[10102|1]],200,1,-1,1,3825,10201
1020102,1012,0,[999|4|13550|999|5|13550],technology_adv_desc_1012,-1,100,false,2,[10102|2],[[999|4|13550]|[999|5|13550]],[[10102|2]],200,1,-1,1,4973,10201
1020103,1012,0,[999|4|18800|999|5|18800],technology_adv_desc_1012,-1,150,false,3,[10102|3],[[999|4|18800]|[999|5|18800]],[[10102|3]],200,1,-1,1,6885,10201
1020104,1012,0,[999|4|28150|999|5|28150],technology_adv_desc_1012,-1,200,false,4,[10102|4],[[999|4|28150]|[999|5|28150]],[[10102|4]],200,1,-1,1,10328,10201
1020105,1012,0,[999|4|44800|999|5|44800],technology_adv_desc_1012,-1,300,false,5,[10102|5],[[999|4|44800]|[999|5|44800]],[[10102|5]],200,1,-1,1,16449,10201
1020201,1013,0,[999|4|10450|999|5|10450],technology_adv_desc_1013,-1,50,false,1,[10102|1],[[999|4|10450]|[999|5|10450]],[[10102|1]],200,1,-1,1,3825,10202
1020202,1013,0,[999|4|13550|999|5|13550],technology_adv_desc_1013,-1,100,false,2,[10102|2],[[999|4|13550]|[999|5|13550]],[[10102|2]],200,1,-1,1,4973,10202
1020203,1013,0,[999|4|18800|999|5|18800],technology_adv_desc_1013,-1,150,false,3,[10102|3],[[999|4|18800]|[999|5|18800]],[[10102|3]],200,1,-1,1,6885,10202
1020204,1013,0,[999|4|28150|999|5|28150],technology_adv_desc_1013,-1,200,false,4,[10102|4],[[999|4|28150]|[999|5|28150]],[[10102|4]],200,1,-1,1,10328,10202
1020205,1013,0,[999|4|44800|999|5|44800],technology_adv_desc_1013,-1,300,false,5,[10102|5],[[999|4|44800]|[999|5|44800]],[[10102|5]],200,1,-1,1,16449,10202
1020301,1014,0,[999|4|10450|999|5|10450],technology_adv_desc_1014,-1,50,false,1,[10102|1],[[999|4|10450]|[999|5|10450]],[[10102|1]],200,1,-1,1,3825,10203
1020302,1014,0,[999|4|13550|999|5|13550],technology_adv_desc_1014,-1,100,false,2,[10102|2],[[999|4|13550]|[999|5|13550]],[[10102|2]],200,1,-1,1,4973,10203
1020303,1014,0,[999|4|18800|999|5|18800],technology_adv_desc_1014,-1,150,false,3,[10102|3],[[999|4|18800]|[999|5|18800]],[[10102|3]],200,1,-1,1,6885,10203
1020304,1014,0,[999|4|28150|999|5|28150],technology_adv_desc_1014,-1,200,false,4,[10102|4],[[999|4|28150]|[999|5|28150]],[[10102|4]],200,1,-1,1,10328,10203
1020305,1014,0,[999|4|44800|999|5|44800],technology_adv_desc_1014,-1,300,false,5,[10102|5],[[999|4|44800]|[999|5|44800]],[[10102|5]],200,1,-1,1,16449,10203
1030201,1034,0,[999|4|20850|999|5|20850],technology_adv_desc_1034,-1,50,false,1,[10201|1|10202|1|10203|1],[[999|4|20850]|[999|5|20850]],[[10201|1]|[10202|1]|[10203|1]],200,1,-1,2,11476,10302
1030202,1034,0,[999|4|27100|999|5|27100],technology_adv_desc_1034,-1,100,false,2,[10201|2|10202|2|10203|2],[[999|4|27100]|[999|5|27100]],[[10201|2]|[10202|2]|[10203|2]],200,1,-1,2,14918,10302
1030203,1034,0,[999|4|37550|999|5|37550],technology_adv_desc_1034,-1,200,false,3,[10201|3|10202|3|10203|3],[[999|4|37550]|[999|5|37550]],[[10201|3]|[10202|3]|[10203|3]],200,1,-1,2,20656,10302
1030204,1034,0,[999|4|56300|999|5|56300],technology_adv_desc_1034,-1,300,false,4,[10201|4|10202|4|10203|4],[[999|4|56300]|[999|5|56300]],[[10201|4]|[10202|4]|[10203|4]],200,1,-1,2,30984,10302
1030205,1034,0,[999|4|89600|999|5|89600],technology_adv_desc_1034,-1,450,false,5,[10201|5|10202|5|10203|5],[[999|4|89600]|[999|5|89600]],[[10201|5]|[10202|5]|[10203|5]],200,1,-1,2,49346,10302
1040101,1004,0,[999|4|20850|999|5|20850],technology_adv_desc_1004,-1,50,false,1,[10302|1],[[999|4|20850]|[999|5|20850]],[[10302|1]],200,1,-1,2,11476,10401
1040102,1004,0,[999|4|27100|999|5|27100],technology_adv_desc_1004,-1,100,false,2,[10302|2],[[999|4|27100]|[999|5|27100]],[[10302|2]],200,1,-1,2,14918,10401
1040103,1004,0,[999|4|37550|999|5|37550],technology_adv_desc_1004,-1,200,false,3,[10302|3],[[999|4|37550]|[999|5|37550]],[[10302|3]],200,1,-1,2,20656,10401
1040104,1004,0,[999|4|56300|999|5|56300],technology_adv_desc_1004,-1,300,false,4,[10302|4],[[999|4|56300]|[999|5|56300]],[[10302|4]],200,1,-1,2,30984,10401
1040105,1004,0,[999|4|89600|999|5|89600],technology_adv_desc_1004,-1,450,false,5,[10302|5],[[999|4|89600]|[999|5|89600]],[[10302|5]],200,1,-1,2,49346,10401
1040201,1006,0,[999|4|20850|999|5|20850],technology_adv_desc_1006,-1,50,false,1,[10302|1],[[999|4|20850]|[999|5|20850]],[[10302|1]],200,1,-1,2,11476,10402
1040202,1006,0,[999|4|27100|999|5|27100],technology_adv_desc_1006,-1,100,false,2,[10302|2],[[999|4|27100]|[999|5|27100]],[[10302|2]],200,1,-1,2,14918,10402
1040203,1006,0,[999|4|37550|999|5|37550],technology_adv_desc_1006,-1,200,false,3,[10302|3],[[999|4|37550]|[999|5|37550]],[[10302|3]],200,1,-1,2,20656,10402
1040204,1006,0,[999|4|56300|999|5|56300],technology_adv_desc_1006,-1,300,false,4,[10302|4],[[999|4|56300]|[999|5|56300]],[[10302|4]],200,1,-1,2,30984,10402
1040205,1006,0,[999|4|89600|999|5|89600],technology_adv_desc_1006,-1,450,false,5,[10302|5],[[999|4|89600]|[999|5|89600]],[[10302|5]],200,1,-1,2,49346,10402
1040301,1005,0,[999|4|20850|999|5|20850],technology_adv_desc_1005,-1,50,false,1,[10302|1],[[999|4|20850]|[999|5|20850]],[[10302|1]],200,1,-1,2,11476,10403
1040302,1005,0,[999|4|27100|999|5|27100],technology_adv_desc_1005,-1,100,false,2,[10302|2],[[999|4|27100]|[999|5|27100]],[[10302|2]],200,1,-1,2,14918,10403
1040303,1005,0,[999|4|37550|999|5|37550],technology_adv_desc_1005,-1,200,false,3,[10302|3],[[999|4|37550]|[999|5|37550]],[[10302|3]],200,1,-1,2,20656,10403
1040304,1005,0,[999|4|56300|999|5|56300],technology_adv_desc_1005,-1,300,false,4,[10302|4],[[999|4|56300]|[999|5|56300]],[[10302|4]],200,1,-1,2,30984,10403
1040305,1005,0,[999|4|89600|999|5|89600],technology_adv_desc_1005,-1,450,false,5,[10302|5],[[999|4|89600]|[999|5|89600]],[[10302|5]],200,1,-1,2,49346,10403
1050201,1033,0,[999|4|41700|999|5|41700],technology_adv_desc_1035,-1,100,false,1,[10401|1|10402|1|10403|1],[[999|4|41700]|[999|5|41700]],[[10401|1]|[10402|1]|[10403|1]],200,1,-1,3,25502,10502
1050202,1033,0,[999|4|54200|999|5|54200],technology_adv_desc_1035,-1,200,false,2,[10401|2|10402|2|10403|2],[[999|4|54200]|[999|5|54200]],[[10401|2]|[10402|2]|[10403|2]],200,1,-1,3,33152,10502
1050203,1033,0,[999|4|75050|999|5|75050],technology_adv_desc_1035,-1,350,false,3,[10401|3|10402|3|10403|3],[[999|4|75050]|[999|5|75050]],[[10401|3]|[10402|3]|[10403|3]],200,1,-1,3,45903,10502
