id,iconAtlas,condition_type,desc,icon,icon_atlas,is_important,isScale,itemPos,maxlv,name,need_lv,open_id,openIdCondition,openIds,pos,position,queue,sci_ids,techIdDic,techIdDict,techIdKeyDic,techIds,type
10102,Atlas/UI_Tech,1,technology_adv_desc_1015,tech_2013,,-1,false,"(1, 2)",5,technology_adv_name_1015,-1,,,,[1|2],[1|2],,[1010201|1010202|1010203|1010204|1010205],{1010201:1|1010202:2|1010203:3|1010204:4|1010205:5},{1:1010201|2:1010202|3:1010203|4:1010204|5:1010205},{1010201:1|1010202:2|1010203:3|1010204:4|1010205:5},[1010201|1010202|1010203|1010204|1010205],1
10201,Atlas/UI_Tech,1,technology_adv_desc_1012,tech_107,,-1,false,"(2, 1)",5,technology_adv_name_1012_v1,-1,[10102|1],[10102],[[10102|1]],[2|1],[2|1],,[1020101|1020102|1020103|1020104|1020105],{1020101:1|1020102:2|1020103:3|1020104:4|1020105:5},{1:1020101|2:1020102|3:1020103|4:1020104|5:1020105},{1020101:1|1020102:2|1020103:3|1020104:4|1020105:5},[1020101|1020102|1020103|1020104|1020105],1
10202,Atlas/UI_Tech,1,technology_adv_desc_1013,tech_105,,-1,false,"(2, 2)",5,technology_adv_name_1013_v1,-1,[10102|1],[10102],[[10102|1]],[2|2],[2|2],,[1020201|1020202|1020203|1020204|1020205],{1020201:1|1020202:2|1020203:3|1020204:4|1020205:5},{1:1020201|2:1020202|3:1020203|4:1020204|5:1020205},{1020201:1|1020202:2|1020203:3|1020204:4|1020205:5},[1020201|1020202|1020203|1020204|1020205],1
10203,Atlas/UI_Tech,1,technology_adv_desc_1014,tech_106,,-1,false,"(2, 3)",5,technology_adv_name_1014_v1,-1,[10102|1],[10102],[[10102|1]],[2|3],[2|3],,[1020301|1020302|1020303|1020304|1020305],{1020301:1|1020302:2|1020303:3|1020304:4|1020305:5},{1:1020301|2:1020302|3:1020303|4:1020304|5:1020305},{1020301:1|1020302:2|1020303:3|1020304:4|1020305:5},[1020301|1020302|1020303|1020304|1020305],1
10302,Atlas/UI_Tech,1,technology_adv_desc_1034,tech_300,,-1,false,"(3, 2)",5,technology_adv_name_1034_v1,-1,[10201|1|10202|1|10203|1],[10201|10202|10203],[[10201|1]|[10202|1]|[10203|1]],[3|2],[3|2],,[1030201|1030202|1030203|1030204|1030205],{1030201:1|1030202:2|1030203:3|1030204:4|1030205:5},{1:1030201|2:1030202|3:1030203|4:1030204|5:1030205},{1030201:1|1030202:2|1030203:3|1030204:4|1030205:5},[1030201|1030202|1030203|1030204|1030205],1
10401,Atlas/UI_Tech,1,technology_adv_desc_1004,tech_302,,-1,false,"(4, 1)",5,technology_adv_name_1004_v1,-1,[10302|1],[10302],[[10302|1]],[4|1],[4|1],,[1040101|1040102|1040103|1040104|1040105],{1040101:1|1040102:2|1040103:3|1040104:4|1040105:5},{1:1040101|2:1040102|3:1040103|4:1040104|5:1040105},{1040101:1|1040102:2|1040103:3|1040104:4|1040105:5},[1040101|1040102|1040103|1040104|1040105],1
10402,Atlas/UI_Tech,1,technology_adv_desc_1006,tech_301,,-1,false,"(4, 2)",5,technology_adv_name_1006_v1,-1,[10302|1],[10302],[[10302|1]],[4|2],[4|2],,[1040201|1040202|1040203|1040204|1040205],{1040201:1|1040202:2|1040203:3|1040204:4|1040205:5},{1:1040201|2:1040202|3:1040203|4:1040204|5:1040205},{1040201:1|1040202:2|1040203:3|1040204:4|1040205:5},[1040201|1040202|1040203|1040204|1040205],1
10403,Atlas/UI_Tech,1,technology_adv_desc_1005,tech_303,,-1,false,"(4, 3)",5,technology_adv_name_1005_v1,-1,[10302|1],[10302],[[10302|1]],[4|3],[4|3],,[1040301|1040302|1040303|1040304|1040305],{1040301:1|1040302:2|1040303:3|1040304:4|1040305:5},{1:1040301|2:1040302|3:1040303|4:1040304|5:1040305},{1040301:1|1040302:2|1040303:3|1040304:4|1040305:5},[1040301|1040302|1040303|1040304|1040305],1
10502,Atlas/UI_Tech,1,technology_adv_desc_1035,tech_102,,-1,false,"(5, 2)",5,technology_adv_name_1035_v1,-1,[10401|1|10402|1|10403|1],[10401|10402|10403],[[10401|1]|[10402|1]|[10403|1]],[5|2],[5|2],,[1050201|1050202|1050203|1050204|1050205],{1050201:1|1050202:2|1050203:3|1050204:4|1050205:5},{1:1050201|2:1050202|3:1050203|4:1050204|5:1050205},{1050201:1|1050202:2|1050203:3|1050204:4|1050205:5},[1050201|1050202|1050203|1050204|1050205],1
10601,Atlas/UI_Tech,1,technology_adv_desc_1012,tech_107,,-1,false,"(6, 1)",10,technology_adv_name_1012_v2,-1,[10502|1],[10502],[[10502|1]],[6|1],[6|1],,[1060101|1060102|1060103|1060104|1060105|1060106|1060107|1060108|1060109|1060110],{1060101:1|1060102:2|1060103:3|1060104:4|1060105:5|1060106:6|1060107:7|1060108:8|1060109:9|1060110:10},{1:1060101|2:1060102|3:1060103|4:1060104|5:1060105|6:1060106|7:1060107|8:1060108|9:1060109|10:1060110},{1060101:1|1060102:2|1060103:3|1060104:4|1060105:5|1060106:6|1060107:7|1060108:8|1060109:9|1060110:10},[1060101|1060102|1060103|1060104|1060105|1060106|1060107|1060108|1060109|1060110],1
