id,techTypeIconAtlas,order,pre,pre_build_lv,pre2,server_list,serverLists,show,show2,showCondition,showCondition2,sort,tech_type_icon,tech_type_icon_atlas,tech_type_name
302,Atlas/UI_Tech,101,-1,-1,-1,[1|6|11|13|15-999|1001-1004|10001-10107],[[1]|[6]|[11]|[13]|[15|999]|[1001|1004]|[10001|10107]],,,[],[],3,tech_500,,tech_type_name_302
303,Atlas/UI_Tech,102,-1,-1,-1,[1|6|11|13|15-999|1001-1004|10001-10107],[[1]|[6]|[11]|[13]|[15|999]|[1001|1004]|[10001|10107]],,,[],[],3,tech_600,,tech_type_name_303
304,Atlas/UI_Tech,103,-1,-1,-1,[1|6|11|13|15-999|1001-1004|10001-10107],[[1]|[6]|[11]|[13]|[15|999]|[1001|1004]|[10001|10107]],,,[],[],3,tech_700,,tech_type_name_304
301,Atlas/UI_Tech,201,-1,-1,-1,[1|6|11|13|15-999|1001-1004|10001-10107],[[1]|[6]|[11]|[13]|[15|999]|[1001|1004]|[10001|10107]],,,[],[],4,tech_type_dragon_awake,,tech_type_name_301
1,Atlas/UI_Tech,301,-1,-1,-1,[1|6|11|13|15-999|1001-1004|10001-10107],[[1]|[6]|[11]|[13]|[15|999]|[1001|1004]|[10001|10107]],,,[],[],1,tech_100,,tech_type_name_1
2,Atlas/UI_Tech,302,-1,-1,-1,[1|6|11|13|15-999|1001-1004|10001-10107],[[1]|[6]|[11]|[13]|[15|999]|[1001|1004]|[10001|10107]],,,[],[],1,tech_200,,tech_type_name_2
7,Atlas/UI_Tech,301,-1,-1,-1,[1|6|11|13|15-999|1001-1004|10001-10107],[[1]|[6]|[11]|[13]|[15|999]|[1001|1004]|[10001|10107]],,,[],[],3,tech_500,,tech_type_name_7
8,Atlas/UI_Tech,302,-1,-1,-1,[1|6|11|13|15-999|1001-1004|10001-10107],[[1]|[6]|[11]|[13]|[15|999]|[1001|1004]|[10001|10107]],,,[],[],3,tech_600,,tech_type_name_8
9,Atlas/UI_Tech,303,-1,-1,-1,[1|6|11|13|15-999|1001-1004|10001-10107],[[1]|[6]|[11]|[13]|[15|999]|[1001|1004]|[10001|10107]],,,[],[],3,tech_700,,tech_type_name_9
10,Atlas/UI_Tech,401,-1,-1,-1,[1|6|11|13|15-999|1001-1004|10001-10107],[[1]|[6]|[11]|[13]|[15|999]|[1001|1004]|[10001|10107]],,,[],[],1,tech_1100,,tech_type_name_10
101,Atlas/UI_Tech,402,-1,-1,-1,[1|6|11|13|15-999|1001-1004|10001-10107],[[1]|[6]|[11]|[13]|[15|999]|[1001|1004]|[10001|10107]],,,[],[],2,tech_type_hero,,exchange_first_textA2
402,Atlas/UI_Tech,101,-1,-1,-1,[2|3|4|5|7-9|12|14|10108-99999|1005-9999],[[2]|[3]|[4]|[5]|[7|9]|[12]|[14]|[10108|99999]|[1005|9999]],,,[],[],3,tech_500,,tech_type_name_302
403,Atlas/UI_Tech,102,-1,-1,-1,[2|3|4|5|7-9|12|14|10108-99999|1005-9999],[[2]|[3]|[4]|[5]|[7|9]|[12]|[14]|[10108|99999]|[1005|9999]],,,[],[],3,tech_600,,tech_type_name_303
