id,getWays,iconAtlas,alarm,atlas,desc,drop_exist_time,get_id,get_prompt,icon,items,name,package_id,quality,resource_gem,resource_gem_new,resource_shop_goods_id,resource_shop_goods_id_new,type_string
1,<ERROR:TargetInvocationException>,Atlas/UI_Item,-1,Atlas/UI_Item,top_resource_desc_1,3000,,-1,icon_10001,[],top_resource_name_1,,3,-1,-1,-1,-1,COIN
2,<ERROR:TargetInvocationException>,Atlas/UI_Item,100000,Atlas/UI_Item,top_resource_desc_2,3000,[1214|61001],1,icon_10002,[],top_resource_name_2,,4,-1,-1,-1,-1,DIAMOND
3,<ERROR:TargetInvocationException>,Atlas/UI_Item,-1,Atlas/UI_Item,top_resource_desc_3,3000,[206001|206002|206003|206004|206005|206006|206007|206008|206009|206010|203033|203034|203035|203040|203041|40101|40102|40103|40104|40105|40106|1116|1311|704|708|69001|404227401|404227402|404227403|404227404|404227405],-1,icon_20001,[],top_resource_name_3,,3,100,100,323000001,330000001,FOOD
4,<ERROR:TargetInvocationException>,Atlas/UI_Item,-1,Atlas/UI_Item,top_resource_desc_4,3000,[206101|206102|206103|206104|206105|206106|206107|206108|206109|206110|203024|203025|203026|203039|203036|203037|203038|50310|50325|9131101|9131102|9131103|1116|704|801|69002|50415|404227101|404227102|404227103|404227104|404227105|404205231|404205232|404205233|404207001],-1,icon_20007,[],top_resource_name_4,,3,400,400,310000001,327000001,WOOD
5,<ERROR:TargetInvocationException>,Atlas/UI_Item,-1,Atlas/UI_Item,top_resource_desc_5,3000,[206201|206202|206203|206204|206205|206206|206207|206208|206209|206210|203027|203028|203029|203039|203036|203037|203038|50311|50326|9131001|9131002|9131003|1116|708|802|69003|50416|404227001|404227002|404227003|404227004|404227005|404205221|404205222|404205223|404207001],-1,icon_20004,[],top_resource_name_5,,3,400,400,311000001,328000001,STONE
6,<ERROR:TargetInvocationException>,Atlas/UI_Item,-1,Atlas/UI_Item,top_resource_desc_6,3000,[208001|208002|208003|208004|208005|203030|203031|203032|203039|203036|203037|203038|50312|50327|9131501|9131502|9131503|9131504|9131505|1116|709|803|404227301|404227302|404227303|404227304|404227305|404205241|404205242|404205243|404207001],1,icon_10004,[],top_resource_name_6,,4,20,200,312000001,329000001,GEM
7,<ERROR:TargetInvocationException>,Atlas/UI_Item,1000,Atlas/UI_Item,top_resource_desc_7,3000,[48100|48102|100001|100002|100003|1207|61001|48101|404207002],-1,icon_10007,[],top_resource_name_7,,3,-1,-1,-1,-1,ENERGY
8,<ERROR:TargetInvocationException>,Atlas/UI_Item,-1,Atlas/UI_Item,top_resource_desc_8,3000,,-1,icon_10003,[],top_resource_name_8,,4,-1,-1,-1,-1,EXP
9,<ERROR:TargetInvocationException>,Atlas/UI_Item,-1,,top_resource_desc_11,3000,,-1,,[],top_resource_name_9,,4,-1,-1,-1,-1,ALLIANCE_TECH_DONATE_COUNT
10,<ERROR:TargetInvocationException>,Atlas/UI_Item,-1,Atlas/UI_Item,top_resource_desc_10,3000,,1,icon_10001,[],top_resource_name_10,,4,-1,-1,-1,-1,ALLIANCE_SCORE
11,<ERROR:TargetInvocationException>,Atlas/UI_Item,-1,Atlas/UI_Item,top_resource_desc_9,3000,,1,icon_10005,[],top_resource_name_11,,3,-1,-1,-1,-1,INGOT
12,<ERROR:TargetInvocationException>,Atlas/UI_Item,-1,Atlas/UI_Item,top_resource_desc_12,3000,,-1,icon_10006,[],top_resource_name_12,,4,-1,-1,-1,-1,AMETHYST
13,<ERROR:TargetInvocationException>,Atlas/UI_Item,-1,,,3000,,-1,,[],,,3,-1,-1,-1,-1,
14,<ERROR:TargetInvocationException>,Atlas/UI_Item,10000,Atlas/UI_Item,top_resource_desc_13,3000,,-1,icon_10011,[],top_resource_name_13,,4,-1,-1,-1,-1,PVP_ARENA_COIN
15,<ERROR:TargetInvocationException>,Atlas/UI_Item,10000,Atlas/UI_Item,top_resource_desc_15,3000,,-1,icon_10021,[],top_resource_name_15,,5,-1,-1,-1,-1,BOUNTY_TASK_POOL_NUM
16,<ERROR:TargetInvocationException>,Atlas/UI_Item,-1,Atlas/UI_Item,top_resource_desc_16,3000,,1,icon_10019,[],top_resource_name_16,,4,-1,-1,-1,-1,JADE
17,<ERROR:TargetInvocationException>,Atlas/UI_Item,-1,Atlas/UI_Item,top_resource_desc_17,3000,[209001|209002|209003],1,icon_10038,[],top_resource_name_17,,5,-1,-1,-1,-1,
18,<ERROR:TargetInvocationException>,Atlas/UI_Item,-1,Atlas/UI_Item,top_resource_desc_18,3000,,-1,icon_30384,[],top_resource_name_18,,5,-1,-1,-1,-1,
19,<ERROR:TargetInvocationException>,Atlas/UI_Item,-1,Atlas/UI_Item,top_resource_desc_19,3000,,-1,icon_30622,[],top_resource_name_19,,4,-1,-1,-1,-1,
20,<ERROR:TargetInvocationException>,Atlas/UI_Item,-1,Atlas/UI_Item,top_resource_desc_19,3000,,-1,icon_30622,[],top_resource_name_20,,4,-1,-1,-1,-1,
100,<ERROR:TargetInvocationException>,Atlas/UI_Item,1,Atlas/UI_Item,top_resource_desc_100,3000,,-1,icon_10012,[],top_resource_name_100,,5,-1,-1,-1,-1,TOKEN
102,<ERROR:TargetInvocationException>,Atlas/UI_Item,-1,Atlas/UI_Item,top_resource_desc_102,3000,[14103|14181],-1,icon_30077,[],top_resource_name_102,,5,-1,-1,-1,-1,RAID_GOLD_KEY
103,<ERROR:TargetInvocationException>,Atlas/UI_Item,-1,Atlas/UI_Item,top_resource_desc_3,3000,,-1,icon_30404,[],top_resource_name_3,,3,-1,-1,-1,-1,FOOD
104,<ERROR:TargetInvocationException>,Seasons/S1/Atlas/SeasonRes_S1,-1,Seasons/S1/Atlas/SeasonRes_S1,top_resource_104,3000,[110001|110002|302],-1,icon_30527,[],goods_name_1016,,5,-1,-1,-1,-1,
105,<ERROR:TargetInvocationException>,Atlas/UI_Kvk,-1,Atlas/UI_Kvk,top_resource_desc_105,3000,,-1,icon_30972,[],top_resource_name_105,,4,-1,-1,-1,-1,
