id,army_type,armyTypes,atk,attr_1,attr_2,attr_3,attrs,be_killed_medal_proportion,be_killed_score_kingdom,be_killed_score_kingdom2,building_id,correlate_building,defendOfCity_Atk,desc,donate_medal,hp,IconName,kill_medal_proportion,kill_rank_count,kill_score_kingdom,kill_score_kingdom2,level,load,lvup_time,morale,name,power,power_free,quality,race,skin_avater,skin_ID,skins,speed,spine_skin_id,train_resource,train_time,trainCosts,trainTotalCostNum,treat_cost,treat_time,treatCosts,unit_ID
1001,[1|2|3],[1|2|3],3,[3|3],[4|33],[10057|0],{3:3|4:33|10057:0},-1,3,6,125000,125,0,troop_desc_1001,12,33,race1_101,-1,1,3,6,1,18,5000,205,troop_name_1001,15,15,2,1,race1_101,[10011|10012|10013|10014],[10011|10012|10013|10014],100,[10011],[999|4|1|999|5|1],75,[[999|4|1]|[999|5|1]],2,[999|4|1|999|5|1],12,[[999|4|1]|[999|5|1]],22002
1002,[1|2|3],[1|2|3],6,[3|6],[4|69],[10057|0],{3:6|4:69|10057:0},-1,4,8,125005,125,0,troop_desc_1002,16,69,race1_101,-1,3,4,8,2,43,5500,224,troop_name_1002,30,30,2,1,race1_101,[10021|10022|10023|10024],[10021|10022|10023|10024],100,[10021],[999|4|5|999|5|5],150,[[999|4|5]|[999|5|5]],10,[999|4|2|999|5|2],18,[[999|4|2]|[999|5|2]],22002
1003,[1|2|3],[1|2|3],9,[3|9],[4|108],[10057|0],{3:9|4:108|10057:0},-1,5,10,125010,125,0,troop_desc_1003,20,108,race1_102,-1,6,5,10,3,68,6000,245,troop_name_1003,45,45,3,1,race1_102,[10031|10032|10033|10034],[10031|10032|10033|10034],100,[10031],[999|4|40|999|5|40],225,[[999|4|40]|[999|5|40]],80,[999|4|8|999|5|8],24,[[999|4|8]|[999|5|8]],22002
1004,[1|2|3],[1|2|3],12,[3|12],[4|151],[10057|0],{3:12|4:151|10057:0},-1,7,14,125015,125,0,troop_desc_1004,28,151,race1_102,-1,8,7,14,4,93,7000,268,troop_name_1004,60,60,3,1,race1_102,[10041|10042|10043|10044],[10041|10042|10043|10044],100,[10041],[999|4|100|999|5|100],300,[[999|4|100]|[999|5|100]],200,[999|4|20|999|5|20],30,[[999|4|20]|[999|5|20]],22002
1005,[1|2|3],[1|2|3],15,[3|15],[4|205],[10057|0],{3:15|4:205|10057:0},-1,9,18,125020,125,0,troop_desc_1005,36,205,race1_103,-1,10,9,18,5,118,8000,295,troop_name_1005,75,75,3,1,race1_103,[10051|10052|10053|10054],[10051|10052|10053|10054],100,[10051],[999|4|200|999|5|200],400,[[999|4|200]|[999|5|200]],400,[999|4|40|999|5|40],35,[[999|4|40]|[999|5|40]],22002
1006,[1|2|3],[1|2|3],18,[3|18],[4|267],[10057|0],{3:18|4:267|10057:0},-1,10,20,125025,125,0,troop_desc_1006,40,267,race1_103,-1,12,10,20,6,143,9000,325,troop_name_1006,90,90,4,1,race1_103,[10061|10062|10063|10064],[10061|10062|10063|10064],100,[10061],[999|4|400|999|5|400],500,[[999|4|400]|[999|5|400]],800,[999|4|80|999|5|80],40,[[999|4|80]|[999|5|80]],22002
1007,[1|2|3],[1|2|3],21,[3|21],[4|334],[10057|0],{3:21|4:334|10057:0},-1,11,22,125030,125,0,troop_desc_1007,44,334,race1_104,-1,13,11,22,7,168,10000,370,troop_name_1007,105,105,4,1,race1_104,[10071|10072|10073|10074],[10071|10072|10073|10074],100,[10071],[999|4|500|999|5|500],550,[[999|4|500]|[999|5|500]],1000,[999|4|100|999|5|100],45,[[999|4|100]|[999|5|100]],22002
1008,[1|2|3],[1|2|3],26,[3|26],[4|443],[10057|0],{3:26|4:443|10057:0},-1,12,24,125035,125,0,troop_desc_1008,48,443,race1_104,-1,15,12,24,8,193,10000,425,troop_name_1008,135,135,4,1,race1_104,[10081|10082|10083|10084],[10081|10082|10083|10084],100,[10081],[999|4|600|999|5|600],600,[[999|4|600]|[999|5|600]],1200,[999|4|120|999|5|120],50,[[999|4|120]|[999|5|120]],22002
1009,[1|2|3],[1|2|3],32,[3|32],[4|580],[10057|0],{3:32|4:580|10057:0},-1,14,28,125040,125,0,troop_desc_1009,56,580,race1_105,-1,18,14,28,9,218,10000,500,troop_name_1009,175,175,5,1,race1_105,[10091|10092|10093|10094],[10091|10092|10093|10094],100,[10091],[999|4|700|999|5|700],700,[[999|4|700]|[999|5|700]],1400,[999|4|140|999|5|140],60,[[999|4|140]|[999|5|140]],22002
1010,[1|2|3],[1|2|3],40,[3|40],[4|770],[10057|0],{3:40|4:770|10057:0},-1,16,32,-1,125,0,troop_desc_1010,64,770,race1_105,-1,22,16,32,10,243,10000,600,troop_name_1010,220,220,5,1,race1_105,[10101|10102|10103|10104],[10101|10102|10103|10104],100,[10101],[999|4|900|999|5|900],800,[[999|4|900]|[999|5|900]],1800,[999|4|180|999|5|180],70,[[999|4|180]|[999|5|180]],22002
