id,building_lv,limit,race
100,0,600,1
101,1,660,1
102,2,720,1
103,3,780,1
104,4,840,1
105,5,900,1
106,6,960,1
107,7,1020,1
108,8,1080,1
109,9,1140,1
110,10,1200,1
111,11,1260,1
112,12,1320,1
113,13,1380,1
114,14,1440,1
115,15,1500,1
116,16,1560,1
117,17,1620,1
118,18,1680,1
119,19,1740,1
120,20,1800,1
121,21,1860,1
122,22,1920,1
123,23,1980,1
124,24,2040,1
125,25,2100,1
126,26,2160,1
127,27,2220,1
128,28,2280,1
129,29,2340,1
130,30,2400,1
131,31,2460,1
132,32,2520,1
133,33,2580,1
134,34,2640,1
135,35,2700,1
136,36,2760,1
137,37,2820,1
138,38,2880,1
139,39,2940,1
140,40,3000,1
141,41,3060,1
142,42,3120,1
143,43,3180,1
144,44,3240,1
145,45,3300,1
146,46,3360,1
147,47,3420,1
148,48,3480,1
149,49,3540,1
150,50,3600,1
151,51,3600,1
152,52,3600,1
153,53,3600,1
154,54,3600,1
155,55,3600,1
156,56,3600,1
157,57,3600,1
158,58,3600,1
159,59,3600,1
160,60,3600,1
161,61,3600,1
162,62,3600,1
163,63,3600,1
164,64,3600,1
165,65,3600,1
166,66,3600,1
167,67,3600,1
168,68,3600,1
169,69,3600,1
170,70,3600,1
200,0,600,2
201,1,660,2
202,2,720,2
203,3,780,2
204,4,840,2
205,5,900,2
206,6,960,2
207,7,1020,2
208,8,1080,2
209,9,1140,2
210,10,1200,2
211,11,1260,2
212,12,1320,2
213,13,1380,2
214,14,1440,2
215,15,1500,2
216,16,1560,2
217,17,1620,2
218,18,1680,2
219,19,1740,2
220,20,1800,2
221,21,1860,2
222,22,1920,2
223,23,1980,2
224,24,2040,2
225,25,2100,2
226,26,2160,2
227,27,2220,2
228,28,2280,2
229,29,2340,2
230,30,2400,2
231,31,2460,2
232,32,2520,2
233,33,2580,2
234,34,2640,2
235,35,2700,2
236,36,2760,2
237,37,2820,2
238,38,2880,2
239,39,2940,2
240,40,3000,2
241,41,3060,2
242,42,3120,2
243,43,3180,2
244,44,3240,2
245,45,3300,2
246,46,3360,2
247,47,3420,2
248,48,3480,2
249,49,3540,2
250,50,3600,2
251,51,3600,2
252,52,3600,2
253,53,3600,2
254,54,3600,2
255,55,3600,2
256,56,3600,2
257,57,3600,2
258,58,3600,2
259,59,3600,2
260,60,3600,2
261,61,3600,2
262,62,3600,2
263,63,3600,2
264,64,3600,2
265,65,3600,2
266,66,3600,2
267,67,3600,2
268,68,3600,2
269,69,3600,2
270,70,3600,2
300,0,600,3
301,1,660,3
302,2,720,3
303,3,780,3
304,4,840,3
305,5,900,3
306,6,960,3
307,7,1020,3
308,8,1080,3
309,9,1140,3
310,10,1200,3
311,11,1260,3
312,12,1320,3
313,13,1380,3
314,14,1440,3
315,15,1500,3
316,16,1560,3
317,17,1620,3
318,18,1680,3
319,19,1740,3
320,20,1800,3
321,21,1860,3
322,22,1920,3
323,23,1980,3
324,24,2040,3
325,25,2100,3
326,26,2160,3
327,27,2220,3
328,28,2280,3
329,29,2340,3
330,30,2400,3
331,31,2460,3
332,32,2520,3
333,33,2580,3
334,34,2640,3
335,35,2700,3
336,36,2760,3
337,37,2820,3
338,38,2880,3
339,39,2940,3
340,40,3000,3
341,41,3060,3
342,42,3120,3
343,43,3180,3
344,44,3240,3
345,45,3300,3
346,46,3360,3
347,47,3420,3
348,48,3480,3
349,49,3540,3
350,50,3600,3
351,51,3600,3
352,52,3600,3
353,53,3600,3
354,54,3600,3
355,55,3600,3
356,56,3600,3
357,57,3600,3
358,58,3600,3
359,59,3600,3
360,60,3600,3
361,61,3600,3
362,62,3600,3
363,63,3600,3
364,64,3600,3
365,65,3600,3
366,66,3600,3
367,67,3600,3
368,68,3600,3
369,69,3600,3
370,70,3600,3
