id,skill_ID,skin_id,spine_skin
10011,1001,210011,Avatar/Spine/Army/Army_10011
10021,1001,210021,Avatar/Spine/Army/Army_10011
10031,1001,210031,Avatar/Spine/Army/Army_10021
10041,1001,210041,Avatar/Spine/Army/Army_10021
10051,1001,210051,Avatar/Spine/Army/Army_10031
10061,1001,210061,Avatar/Spine/Army/Army_10031
10071,1001,210071,Avatar/Spine/Army/Army_10041
10081,1001,210081,Avatar/Spine/Army/Army_10041
10091,1001,210091,Avatar/Spine/Army/Army_10051
10101,1001,210101,Avatar/Spine/Army/Army_10051
10111,1001,210111,Avatar/Spine/Army/Army_10061
10121,1001,210121,Avatar/Spine/Army/Army_10061
10012,1002,210012,Avatar/Spine/Army/Army_10011
10022,1002,210022,Avatar/Spine/Army/Army_10011
10032,1002,210032,Avatar/Spine/Army/Army_10021
10042,1002,210042,Avatar/Spine/Army/Army_10021
10052,1002,210052,Avatar/Spine/Army/Army_10031
10062,1002,210062,Avatar/Spine/Army/Army_10031
10072,1002,210072,Avatar/Spine/Army/Army_10041
10082,1002,210082,Avatar/Spine/Army/Army_10041
10092,1002,210092,Avatar/Spine/Army/Army_10051
10102,1002,210102,Avatar/Spine/Army/Army_10051
10112,1002,210112,Avatar/Spine/Army/Army_10061
10122,1002,210122,Avatar/Spine/Army/Army_10061
10013,1003,210013,Avatar/Spine/Army/Army_10011
10023,1003,210023,Avatar/Spine/Army/Army_10011
10033,1003,210033,Avatar/Spine/Army/Army_10021
10043,1003,210043,Avatar/Spine/Army/Army_10021
10053,1003,210053,Avatar/Spine/Army/Army_10031
10063,1003,210063,Avatar/Spine/Army/Army_10031
10073,1003,210073,Avatar/Spine/Army/Army_10041
10083,1003,210083,Avatar/Spine/Army/Army_10041
10093,1003,210093,Avatar/Spine/Army/Army_10051
10103,1003,210103,Avatar/Spine/Army/Army_10051
10113,1003,210113,Avatar/Spine/Army/Army_10061
10123,1003,210123,Avatar/Spine/Army/Army_10061
10014,1004,210013,Avatar/Spine/Army/Army_10011
10024,1004,210023,Avatar/Spine/Army/Army_10011
10034,1004,210033,Avatar/Spine/Army/Army_10021
10044,1004,210043,Avatar/Spine/Army/Army_10021
10054,1004,210053,Avatar/Spine/Army/Army_10031
10064,1004,210063,Avatar/Spine/Army/Army_10031
10074,1004,210073,Avatar/Spine/Army/Army_10041
10084,1004,210083,Avatar/Spine/Army/Army_10041
10094,1004,210093,Avatar/Spine/Army/Army_10051
10104,1004,210103,Avatar/Spine/Army/Army_10051
10114,1004,210113,Avatar/Spine/Army/Army_10051
10124,1004,210123,Avatar/Spine/Army/Army_10061
20011,1001,220011,Avatar/Spine/Army/Army_20011
20021,1001,220021,Avatar/Spine/Army/Army_20011
20031,1001,220031,Avatar/Spine/Army/Army_20021
20041,1001,220041,Avatar/Spine/Army/Army_20021
20051,1001,220051,Avatar/Spine/Army/Army_20031
20061,1001,220061,Avatar/Spine/Army/Army_20031
20071,1001,220071,Avatar/Spine/Army/Army_20041
20081,1001,220081,Avatar/Spine/Army/Army_20041
20091,1001,220091,Avatar/Spine/Army/Army_20051
20101,1001,220101,Avatar/Spine/Army/Army_20051
20111,1001,220101,Avatar/Spine/Army/Army_20061
20121,1001,220121,Avatar/Spine/Army/Army_20061
20012,1002,220012,Avatar/Spine/Army/Army_20011
20022,1002,220022,Avatar/Spine/Army/Army_20011
20032,1002,220032,Avatar/Spine/Army/Army_20021
20042,1002,220042,Avatar/Spine/Army/Army_20021
20052,1002,220052,Avatar/Spine/Army/Army_20031
20062,1002,220062,Avatar/Spine/Army/Army_20031
20072,1002,220072,Avatar/Spine/Army/Army_20041
20082,1002,220082,Avatar/Spine/Army/Army_20041
20092,1002,220092,Avatar/Spine/Army/Army_20051
20102,1002,220102,Avatar/Spine/Army/Army_20051
20112,1002,220112,Avatar/Spine/Army/Army_20061
20122,1002,220122,Avatar/Spine/Army/Army_20061
20013,1003,220013,Avatar/Spine/Army/Army_20011
20023,1003,220023,Avatar/Spine/Army/Army_20011
20033,1003,220033,Avatar/Spine/Army/Army_20021
20043,1003,220043,Avatar/Spine/Army/Army_20021
20053,1003,220053,Avatar/Spine/Army/Army_20031
20063,1003,220063,Avatar/Spine/Army/Army_20031
20073,1003,220073,Avatar/Spine/Army/Army_20041
20083,1003,220083,Avatar/Spine/Army/Army_20041
20093,1003,220093,Avatar/Spine/Army/Army_20051
20103,1003,220103,Avatar/Spine/Army/Army_20051
20113,1003,220113,Avatar/Spine/Army/Army_20061
20123,1003,220123,Avatar/Spine/Army/Army_20061
20014,1004,220013,Avatar/Spine/Army/Army_20011
20024,1004,220023,Avatar/Spine/Army/Army_20011
20034,1004,220033,Avatar/Spine/Army/Army_20021
20044,1004,220043,Avatar/Spine/Army/Army_20021
20054,1004,220053,Avatar/Spine/Army/Army_20031
20064,1004,220063,Avatar/Spine/Army/Army_20031
20074,1004,220073,Avatar/Spine/Army/Army_20041
20084,1004,220083,Avatar/Spine/Army/Army_20041
20094,1004,220093,Avatar/Spine/Army/Army_20051
20104,1004,220103,Avatar/Spine/Army/Army_20051
20114,1004,220113,Avatar/Spine/Army/Army_20061
20124,1004,220123,Avatar/Spine/Army/Army_20061
30011,1001,230011,Avatar/Spine/Army/Army_30011
30021,1001,230021,Avatar/Spine/Army/Army_30011
30031,1001,230031,Avatar/Spine/Army/Army_30021
30041,1001,230041,Avatar/Spine/Army/Army_30021
30051,1001,230051,Avatar/Spine/Army/Army_30031
30061,1001,230061,Avatar/Spine/Army/Army_30031
30071,1001,230071,Avatar/Spine/Army/Army_30041
30081,1001,230081,Avatar/Spine/Army/Army_30041
30091,1001,230091,Avatar/Spine/Army/Army_30051
30101,1001,230101,Avatar/Spine/Army/Army_30051
30111,1001,230111,Avatar/Spine/Army/Army_30061
30121,1001,230121,Avatar/Spine/Army/Army_30061
30012,1002,230012,Avatar/Spine/Army/Army_30011
30022,1002,230022,Avatar/Spine/Army/Army_30011
30032,1002,230032,Avatar/Spine/Army/Army_30021
30042,1002,230042,Avatar/Spine/Army/Army_30021
30052,1002,230052,Avatar/Spine/Army/Army_30031
30062,1002,230062,Avatar/Spine/Army/Army_30031
30072,1002,230072,Avatar/Spine/Army/Army_30041
30082,1002,230082,Avatar/Spine/Army/Army_30041
30092,1002,230092,Avatar/Spine/Army/Army_30051
30102,1002,230102,Avatar/Spine/Army/Army_30051
30112,1002,230112,Avatar/Spine/Army/Army_30061
30122,1002,230122,Avatar/Spine/Army/Army_30061
30013,1003,230013,Avatar/Spine/Army/Army_30011
30023,1003,230023,Avatar/Spine/Army/Army_30011
30033,1003,230033,Avatar/Spine/Army/Army_30021
30043,1003,230043,Avatar/Spine/Army/Army_30021
30053,1003,230053,Avatar/Spine/Army/Army_30031
30063,1003,230063,Avatar/Spine/Army/Army_30031
30073,1003,230073,Avatar/Spine/Army/Army_30041
30083,1003,230083,Avatar/Spine/Army/Army_30041
30093,1003,230093,Avatar/Spine/Army/Army_30051
30103,1003,230103,Avatar/Spine/Army/Army_30051
30113,1003,230113,Avatar/Spine/Army/Army_30061
30123,1003,230123,Avatar/Spine/Army/Army_30061
30014,1004,230013,Avatar/Spine/Army/Army_30011
30024,1004,230023,Avatar/Spine/Army/Army_30011
30034,1004,230033,Avatar/Spine/Army/Army_30021
30044,1004,230043,Avatar/Spine/Army/Army_30021
30054,1004,230053,Avatar/Spine/Army/Army_30031
30064,1004,230063,Avatar/Spine/Army/Army_30031
30074,1004,230073,Avatar/Spine/Army/Army_30041
30084,1004,230083,Avatar/Spine/Army/Army_30041
30094,1004,230093,Avatar/Spine/Army/Army_30051
30104,1004,230103,Avatar/Spine/Army/Army_30051
30114,1004,230113,Avatar/Spine/Army/Army_30061
30124,1004,230123,Avatar/Spine/Army/Army_30061
40011,1001,60172,Avatar/Spine/Monster/RLBB
40021,1001,60172,Avatar/Spine/Monster/RLBB
40031,1001,60173,Avatar/Spine/Monster/RLWB
40041,1001,60173,Avatar/Spine/Monster/RLWB
40051,1001,60174,Avatar/Spine/Monster/RLNB
40061,1001,60174,Avatar/Spine/Monster/RLNB
40071,1001,60181,Avatar/Spine/Monster/HARFS
40081,1001,60181,Avatar/Spine/Monster/HARFS
40091,1001,60183,Avatar/Spine/Monster/RLLS
40101,1001,60183,Avatar/Spine/Monster/RLLS
40111,1001,60184,Avatar/Spine/Monster/RLDJ
