id,can_decompose,commonPanelAvatarPos,head,head_thumbnail,limit,map_soldier1_position,map_solider_pos_info1,model,model_position,model_spine,modelPaths,modelViewPaths,name,repeat_reward,repeat_rewards,skin_item,stars,team_position,teamPanelAvatarPos
5301,1,[[-150|-111|85]|[0|-111|85]|[150|-111|85]|[-170|-200|100]|[0|-200|100]|[170|-200|100]],ArmsHead_10001_1,ArmsLihui_10001,-1,[1|-0.42|-0.1|1|0|0.08|1|0.42|-0.1|2|-0.42|-0.46|2|0|-0.28|2|0.42|-0.46|3|-0.42|-0.82|3|0|-0.64|3|0.42|-0.82],"[(-0.4, -0.1)|(0.0, 0.1)|(0.4, -0.1)|(-0.4, -0.5)|(0.0, -0.3)|(0.4, -0.5)|(-0.4, -0.8)|(0.0, -0.6)|(0.4, -0.8)]",[Avatar/Army/Army_skin2_2|Avatar/Army/Army_skin2_1|Avatar/Army/Army_skin2_3],"-150|-111|85,0|-111|85,150|-111|85,-170|-200|100,0|-200|100,170|-200|100",[Avatar/Spine/Army/Army_skin2_2|Avatar/Spine/Army/Army_skin2_1|Avatar/Spine/Army/Army_skin2_3],[Avatar/Army/Army_skin2_2|Avatar/Army/Army_skin2_1|Avatar/Army/Army_skin2_3],[Avatar/Spine/Army/Army_skin2_2|Avatar/Spine/Army/Army_skin2_1|Avatar/Spine/Army/Army_skin2_3],goods_name_2024501,[999|2|1000],[999|2|1000],2024501,3,"-160|-20|70,0|-20|70,160|-20|70,-170|-90|80,0|-90|80,170|-90|80,-180|-160|90,0|-160|90,180|-160|90",[[-160|-20|70]|[0|-20|70]|[160|-20|70]|[-170|-90|80]|[0|-90|80]|[170|-90|80]|[-180|-160|90]|[0|-160|90]|[180|-160|90]]
5302,1,[[-150|-111|85]|[0|-111|85]|[150|-111|85]|[-170|-200|100]|[0|-200|100]|[170|-200|100]],ArmsHead_10002_1,ArmsLihui_10002,-1,[1|-0.3|-0.36|1|0.4|-0.36|2|0.1|-1.06|3|-0.4|-1.2|3|0.65|-1.2],"[(-0.3, -0.4)|(0.4, -0.4)|(0.1, -1.1)|(-0.4, -1.2)|(0.7, -1.2)]",[Avatar/Army/Army_skin3_2|Avatar/Army/Army_skin3_1|Avatar/Army/Army_skin3_3],"-150|-111|85,0|-111|85,150|-111|85,-170|-200|100,0|-200|100,170|-200|100",[Avatar/Spine/Army/Army_skin3_2|Avatar/Spine/Army/Army_skin3_1|Avatar/Spine/Army/Army_skin3_3],[Avatar/Army/Army_skin3_2|Avatar/Army/Army_skin3_1|Avatar/Army/Army_skin3_3],[Avatar/Spine/Army/Army_skin3_2|Avatar/Spine/Army/Army_skin3_1|Avatar/Spine/Army/Army_skin3_3],goods_name_2024502,[999|2|1000],[999|2|1000],2024502,3,"-160|-20|70,0|-20|70,160|-20|70,-170|-90|80,0|-90|80,170|-90|80,-180|-160|90,0|-160|90,180|-160|90",[[-160|-20|70]|[0|-20|70]|[160|-20|70]|[-170|-90|80]|[0|-90|80]|[170|-90|80]|[-180|-160|90]|[0|-160|90]|[180|-160|90]]
5403,0,[[-150|-111|85]|[0|-111|85]|[150|-111|85]|[-170|-200|100]|[0|-200|100]|[170|-200|100]],ArmsHead_10006_1,ArmsLihui_10006,-1,[1|-0.42|-0.1|1|0|0.08|1|0.42|-0.1|2|-0.42|-0.46|2|0|-0.28|2|0.42|-0.46|3|-0.42|-0.82|3|0|-0.64|3|0.42|-0.82],"[(-0.4, -0.1)|(0.0, 0.1)|(0.4, -0.1)|(-0.4, -0.5)|(0.0, -0.3)|(0.4, -0.5)|(-0.4, -0.8)|(0.0, -0.6)|(0.4, -0.8)]",[Avatar/Army/Army_skin6_2|Avatar/Army/Army_skin6_1|Avatar/Army/Army_skin6_3],"-150|-111|85,0|-111|85,150|-111|85,-170|-200|100,0|-200|100,170|-200|100",[Avatar/Spine/Army/Army_skin6_2|Avatar/Spine/Army/Army_skin6_1|Avatar/Spine/Army/Army_skin6_3],[Avatar/Army/Army_skin6_2|Avatar/Army/Army_skin6_1|Avatar/Army/Army_skin6_3],[Avatar/Spine/Army/Army_skin6_2|Avatar/Spine/Army/Army_skin6_1|Avatar/Spine/Army/Army_skin6_3],goods_name_2024506,[999|2|2500],[999|2|2500],2024543,4,"-160|-20|70,0|-20|70,160|-20|70,-170|-90|80,0|-90|80,170|-90|80,-180|-160|90,0|-160|90,180|-160|90",[[-160|-20|70]|[0|-20|70]|[160|-20|70]|[-170|-90|80]|[0|-90|80]|[170|-90|80]|[-180|-160|90]|[0|-160|90]|[180|-160|90]]
5404,0,[[-150|-111|85]|[0|-111|85]|[150|-111|85]|[-170|-200|100]|[0|-200|100]|[170|-200|100]],ArmsHead_10007_1,ArmsLihui_10007,-1,[1|-0.42|-0.1|1|0|0.08|1|0.42|-0.1|2|-0.42|-0.46|2|0|-0.28|2|0.42|-0.46|3|-0.42|-0.82|3|0|-0.64|3|0.42|-0.82],"[(-0.4, -0.1)|(0.0, 0.1)|(0.4, -0.1)|(-0.4, -0.5)|(0.0, -0.3)|(0.4, -0.5)|(-0.4, -0.8)|(0.0, -0.6)|(0.4, -0.8)]",[Avatar/Army/Army_skin7_2|Avatar/Army/Army_skin7_1|Avatar/Army/Army_skin7_3],"-150|-111|85,0|-111|85,150|-111|85,-170|-200|100,0|-200|100,170|-200|100",[Avatar/Spine/Army/Army_skin7_2|Avatar/Spine/Army/Army_skin7_1|Avatar/Spine/Army/Army_skin7_3],[Avatar/Army/Army_skin7_2|Avatar/Army/Army_skin7_1|Avatar/Army/Army_skin7_3],[Avatar/Spine/Army/Army_skin7_2|Avatar/Spine/Army/Army_skin7_1|Avatar/Spine/Army/Army_skin7_3],goods_name_2024507,[999|2|2500],[999|2|2500],2024544,4,"-160|-20|70,0|-20|70,160|-20|70,-170|-90|80,0|-90|80,170|-90|80,-180|-160|90,0|-160|90,180|-160|90",[[-160|-20|70]|[0|-20|70]|[160|-20|70]|[-170|-90|80]|[0|-90|80]|[170|-90|80]|[-180|-160|90]|[0|-160|90]|[180|-160|90]]
5405,0,[[-150|-111|85]|[0|-111|85]|[150|-111|85]|[-170|-200|100]|[0|-200|100]|[170|-200|100]],ArmsHead_10012_1,ArmsLihui_10012,-1,[1|-0.42|-0.1|1|0|0.08|1|0.42|-0.1|2|-0.42|-0.46|2|0|-0.28|2|0.42|-0.46|3|-0.42|-0.82|3|0|-0.64|3|0.42|-0.82],"[(-0.4, -0.1)|(0.0, 0.1)|(0.4, -0.1)|(-0.4, -0.5)|(0.0, -0.3)|(0.4, -0.5)|(-0.4, -0.8)|(0.0, -0.6)|(0.4, -0.8)]",[Avatar/Army/Army_skin12_1|Avatar/Army/Army_skin12_1|Avatar/Army/Army_skin12_1],"-150|-111|85,0|-111|85,150|-111|85,-170|-200|100,0|-200|100,170|-200|100",[Avatar/Spine/Army/Army_skin12_1|Avatar/Spine/Army/Army_skin12_1|Avatar/Spine/Army/Army_skin12_1],[Avatar/Army/Army_skin12_1|Avatar/Army/Army_skin12_1|Avatar/Army/Army_skin12_1],[Avatar/Spine/Army/Army_skin12_1|Avatar/Spine/Army/Army_skin12_1|Avatar/Spine/Army/Army_skin12_1],goods_name_2024512,[999|2|2500],[999|2|2500],2024545,4,"-160|-20|70,0|-20|70,160|-20|70,-170|-90|80,0|-90|80,170|-90|80,-180|-160|90,0|-160|90,180|-160|90",[[-160|-20|70]|[0|-20|70]|[160|-20|70]|[-170|-90|80]|[0|-90|80]|[170|-90|80]|[-180|-160|90]|[0|-160|90]|[180|-160|90]]
5406,0,[[-150|-111|85]|[0|-111|85]|[150|-111|85]|[-170|-200|100]|[0|-200|100]|[170|-200|100]],ArmsHead_10009_1,ArmsLihui_10009,-1,[1|-0.42|-0.1|1|0|0.08|1|0.42|-0.1|2|-0.42|-0.46|2|0|-0.28|2|0.42|-0.46|3|-0.42|-0.82|3|0|-0.64|3|0.42|-0.82],"[(-0.4, -0.1)|(0.0, 0.1)|(0.4, -0.1)|(-0.4, -0.5)|(0.0, -0.3)|(0.4, -0.5)|(-0.4, -0.8)|(0.0, -0.6)|(0.4, -0.8)]",[Avatar/Army/Army_skin9_1|Avatar/Army/Army_skin9_1|Avatar/Army/Army_skin9_1],"-150|-111|85,0|-111|85,150|-111|85,-170|-200|100,0|-200|100,170|-200|100",[Avatar/Spine/Army/Army_skin9_1|Avatar/Spine/Army/Army_skin9_1|Avatar/Spine/Army/Army_skin9_1],[Avatar/Army/Army_skin9_1|Avatar/Army/Army_skin9_1|Avatar/Army/Army_skin9_1],[Avatar/Spine/Army/Army_skin9_1|Avatar/Spine/Army/Army_skin9_1|Avatar/Spine/Army/Army_skin9_1],goods_name_2024546,[999|2|2500],[999|2|2500],2024546,4,"-160|-20|70,0|-20|70,160|-20|70,-170|-90|80,0|-90|80,170|-90|80,-180|-160|90,0|-160|90,180|-160|90",[[-160|-20|70]|[0|-20|70]|[160|-20|70]|[-170|-90|80]|[0|-90|80]|[170|-90|80]|[-180|-160|90]|[0|-160|90]|[180|-160|90]]
5407,0,[[-150|-111|85]|[0|-111|85]|[150|-111|85]|[-170|-200|100]|[0|-200|100]|[170|-200|100]],ArmsHead_10014_1,ArmyLihui_skin12_1,-1,[1|-0.42|-0.1|1|0|0.08|1|0.42|-0.1|2|-0.42|-0.46|2|0|-0.28|2|0.42|-0.46|3|-0.42|-0.82|3|0|-0.64|3|0.42|-0.82],"[(-0.4, -0.1)|(0.0, 0.1)|(0.4, -0.1)|(-0.4, -0.5)|(0.0, -0.3)|(0.4, -0.5)|(-0.4, -0.8)|(0.0, -0.6)|(0.4, -0.8)]",[Avatar/Army/Army_skin14_1|Avatar/Army/Army_skin14_1|Avatar/Army/Army_skin14_1],"-150|-111|85,0|-111|85,150|-111|85,-170|-200|100,0|-200|100,170|-200|100",[Avatar/Spine/Army/Army_skin14_1|Avatar/Spine/Army/Army_skin14_1|Avatar/Spine/Army/Army_skin14_1],[Avatar/Army/Army_skin14_1|Avatar/Army/Army_skin14_1|Avatar/Army/Army_skin14_1],[Avatar/Spine/Army/Army_skin14_1|Avatar/Spine/Army/Army_skin14_1|Avatar/Spine/Army/Army_skin14_1],goods_name_2024547,[999|2|2500],[999|2|2500],2024547,4,"-160|-20|70,0|-20|70,160|-20|70,-170|-90|80,0|-90|80,170|-90|80,-180|-160|90,0|-160|90,180|-160|90",[[-160|-20|70]|[0|-20|70]|[160|-20|70]|[-170|-90|80]|[0|-90|80]|[170|-90|80]|[-180|-160|90]|[0|-160|90]|[180|-160|90]]
5501,0,[[-80|-100|85]|[80|-100|85]|[-140|-200|100]|[140|-200|100]],ArmsHead_10008_1,ArmsLihui_10008,1,[1|-0.42|-0.1|1|0|0.08|1|0.42|-0.1|2|-0.42|-0.46|2|0|-0.28|2|0.42|-0.46|3|-0.42|-0.82|3|0|-0.64|3|0.42|-0.82],"[(-0.4, -0.1)|(0.0, 0.1)|(0.4, -0.1)|(-0.4, -0.5)|(0.0, -0.3)|(0.4, -0.5)|(-0.4, -0.8)|(0.0, -0.6)|(0.4, -0.8)]",[Avatar/Army/Army_skin8_1|Avatar/Army/Army_skin8_1|Avatar/Army/Army_skin8_1],"-80|-100|85,80|-100|85,-140|-200|100,140|-200|100",[Avatar/Spine/Army/Army_skin8_1|Avatar/Spine/Army/Army_skin8_1|Avatar/Spine/Army/Army_skin8_1],[Avatar/Army/Army_skin8_1|Avatar/Army/Army_skin8_1|Avatar/Army/Army_skin8_1],[Avatar/Spine/Army/Army_skin8_1|Avatar/Spine/Army/Army_skin8_1|Avatar/Spine/Army/Army_skin8_1],goods_name_2024508,[999|2|2500],[999|2|2500],2024551,5,"-160|-20|70,0|-20|70,160|-20|70,-170|-90|80,0|-90|80,170|-90|80,-180|-160|90,0|-160|90,180|-160|90",[[-160|-20|70]|[0|-20|70]|[160|-20|70]|[-170|-90|80]|[0|-90|80]|[170|-90|80]|[-180|-160|90]|[0|-160|90]|[180|-160|90]]
5502,0,[[-80|-100|85]|[80|-100|85]|[-140|-200|100]|[140|-200|100]],ArmsHead_10010_1,ArmsLihui_10010,1,[1|-0.3|-0.36|1|0.4|-0.36|2|0.1|-1.06|3|-0.4|-1.2|3|0.65|-1.2],"[(-0.3, -0.4)|(0.4, -0.4)|(0.1, -1.1)|(-0.4, -1.2)|(0.7, -1.2)]",[Avatar/Army/Army_skin10_1|Avatar/Army/Army_skin10_1|Avatar/Army/Army_skin10_1],"-80|-100|85,80|-100|85,-140|-200|100,140|-200|100",[Avatar/Spine/Army/Army_skin10_1|Avatar/Spine/Army/Army_skin10_1|Avatar/Spine/Army/Army_skin10_1],[Avatar/Army/Army_skin10_1|Avatar/Army/Army_skin10_1|Avatar/Army/Army_skin10_1],[Avatar/Spine/Army/Army_skin10_1|Avatar/Spine/Army/Army_skin10_1|Avatar/Spine/Army/Army_skin10_1],goods_name_2024510,[999|2|2500],[999|2|2500],2024552,5,"-160|-20|70,0|-20|70,160|-20|70,-170|-90|80,0|-90|80,170|-90|80,-180|-160|90,0|-160|90,180|-160|90",[[-160|-20|70]|[0|-20|70]|[160|-20|70]|[-170|-90|80]|[0|-90|80]|[170|-90|80]|[-180|-160|90]|[0|-160|90]|[180|-160|90]]
5503,0,[[0|-80|100]|[-140|-170|120]|[140|-170|120]],ArmsHead_10013_1,ArmsLihui_10013,1,[1|-0.24|-0.35|1|0.65|-0.58],"[(-0.2, -0.4)|(0.7, -0.6)]",[Avatar/Army/Army_skin13_1|Avatar/Army/Army_skin13_1|Avatar/Army/Army_skin13_1],"0|-80|100,-140|-170|120,140|-170|120",[Avatar/Spine/Army/Army_skin13_1|Avatar/Spine/Army/Army_skin13_1|Avatar/Spine/Army/Army_skin13_1],[Avatar/Army/Army_skin13_1|Avatar/Army/Army_skin13_1|Avatar/Army/Army_skin13_1],[Avatar/Spine/Army/Army_skin13_1|Avatar/Spine/Army/Army_skin13_1|Avatar/Spine/Army/Army_skin13_1],goods_name_2024513,[999|2|2500],[999|2|2500],2024553,5,"-150|-60|80,0|-60|80,150|-60|80,-170|-160|100,0|-160|100,170|-160|100",[[-150|-60|80]|[0|-60|80]|[150|-60|80]|[-170|-160|100]|[0|-160|100]|[170|-160|100]]
