id,attr_1,attr_2,attr_3,attrList,break_affect,break_affect_desc,break_affect_desc_change,breakCost,castle_lv_min,cost,display_num,displayNums,fightforce,group,level,load,skin_lv_max,skin_lv_min,speed
530100,[1052|600],[10103|200],[10104|400],[[1052|600]|[10103|200]|[10104|400]],,troop_skin_break_desc5301,troop_skin_break_change_desc5301,[[2|2024501|1]],10,[2|2024501|1],[6|2|4],[6|2|4],950,5301,0,,10,10,
530101,[1052|1200],[10103|400],[10104|800],[[1052|1200]|[10103|400]|[10104|800]],,troop_skin_break_desc5301,troop_skin_break_change_desc5301,[[2|2024501|1]],10,[2|2024501|1],[12|4|8],[12|4|8],1900,5301,1,,20,20,
530102,[1052|1800],[10103|600],[10104|1200],[[1052|1800]|[10103|600]|[10104|1200]],,troop_skin_break_desc5301,troop_skin_break_change_desc5301,[[2|2024501|2]],10,[2|2024501|2],[18|6|12],[18|6|12],2850,5301,2,,30,30,
530103,[1052|2400],[10103|800],[10104|1600],[[1052|2400]|[10103|800]|[10104|1600]],,troop_skin_break_desc5301,troop_skin_break_change_desc5301,[[2|2024501|3]],10,[2|2024501|3],[24|8|16],[24|8|16],4750,5301,3,,40,40,
530104,[1052|3000],[10103|1000],[10104|2000],[[1052|3000]|[10103|1000]|[10104|2000]],,troop_skin_break_desc5301,troop_skin_break_change_desc5301,[[2|2024501|3]],10,[2|2024501|3],[30|10|20],[30|10|20],7600,5301,4,,45,45,
530105,[1052|3600],[10103|1200],[10104|2400],[[1052|3600]|[10103|1200]|[10104|2400]],,troop_skin_break_desc5301,troop_skin_break_change_desc5301,[[2|2024501|3]],10,[2|2024501|3],[30|10|20],[30|10|20],10450,5301,5,,50,50,
530106,[1052|4200],[10103|1400],[10104|2800],[[1052|4200]|[10103|1400]|[10104|2800]],,troop_skin_break_desc5301,troop_skin_break_change_desc5301,[],-1,,[30|10|20],[30|10|20],13300,5301,6,,50,50,
530200,[1076|1000],[10103|200],[10104|400],[[1076|1000]|[10103|200]|[10104|400]],,troop_skin_break_desc5302,troop_skin_break_change_desc5302,[[2|2024502|1]],10,[2|2024502|1],[10|2|4],[10|2|4],950,5302,0,,10,10,
530201,[1076|2000],[10103|400],[10104|800],[[1076|2000]|[10103|400]|[10104|800]],,troop_skin_break_desc5302,troop_skin_break_change_desc5302,[[2|2024502|1]],10,[2|2024502|1],[20|4|8],[20|4|8],1900,5302,1,,20,20,
530202,[1076|3000],[10103|600],[10104|1200],[[1076|3000]|[10103|600]|[10104|1200]],,troop_skin_break_desc5302,troop_skin_break_change_desc5302,[[2|2024502|2]],10,[2|2024502|2],[30|6|12],[30|6|12],2850,5302,2,,30,30,
530203,[1076|4000],[10103|800],[10104|1600],[[1076|4000]|[10103|800]|[10104|1600]],,troop_skin_break_desc5302,troop_skin_break_change_desc5302,[[2|2024502|3]],10,[2|2024502|3],[40|8|16],[40|8|16],4750,5302,3,,40,40,
530204,[1076|5000],[10103|1000],[10104|2000],[[1076|5000]|[10103|1000]|[10104|2000]],,troop_skin_break_desc5302,troop_skin_break_change_desc5302,[[2|2024502|3]],10,[2|2024502|3],[50|10|20],[50|10|20],7600,5302,4,,45,45,
530205,[1076|6000],[10103|1200],[10104|2400],[[1076|6000]|[10103|1200]|[10104|2400]],,troop_skin_break_desc5302,troop_skin_break_change_desc5302,[[2|2024502|3]],10,[2|2024502|3],[50|10|20],[50|10|20],10450,5302,5,,50,50,
530206,[1076|7000],[10103|1400],[10104|2800],[[1076|7000]|[10103|1400]|[10104|2800]],,troop_skin_break_desc5302,troop_skin_break_change_desc5302,[],-1,,[50|10|20],[50|10|20],13300,5302,6,,50,50,
540300,[1100003|700],[10103|300],[10104|600],[[1100003|700]|[10103|300]|[10104|600]],,troop_skin_break_desc5403,troop_skin_break_change_desc5403,[[2|2024543|1]],10,[2|2024543|1],[7|3|6],[7|3|6],1900,5403,0,,10,10,
540301,[1100003|1400],[10103|600],[10104|1200],[[1100003|1400]|[10103|600]|[10104|1200]],,troop_skin_break_desc5403,troop_skin_break_change_desc5403,[[2|2024543|1]],10,[2|2024543|1],[14|6|12],[14|6|12],3800,5403,1,,20,20,
540302,[1100003|2100],[10103|900],[10104|1800],[[1100003|2100]|[10103|900]|[10104|1800]],,troop_skin_break_desc5403,troop_skin_break_change_desc5403,[[2|2024543|2]],10,[2|2024543|2],[21|9|18],[21|9|18],5700,5403,2,,30,30,
540303,[1100003|2800],[10103|1200],[10104|2400],[[1100003|2800]|[10103|1200]|[10104|2400]],,troop_skin_break_desc5403,troop_skin_break_change_desc5403,[[2|2024543|3]],10,[2|2024543|3],[28|12|24],[28|12|24],9500,5403,3,,40,40,
540304,[1100003|3500],[10103|1500],[10104|3000],[[1100003|3500]|[10103|1500]|[10104|3000]],,troop_skin_break_desc5403,troop_skin_break_change_desc5403,[[2|2024543|3]],10,[2|2024543|3],[35|15|30],[35|15|30],15200,5403,4,,45,45,
540305,[1100003|4200],[10103|1800],[10104|3600],[[1100003|4200]|[10103|1800]|[10104|3600]],,troop_skin_break_desc5403,troop_skin_break_change_desc5403,[[2|2024543|3]],10,[2|2024543|3],[42|18|36],[42|18|36],20900,5403,5,,50,50,
540306,[1100003|4900],[10103|2100],[10104|4200],[[1100003|4900]|[10103|2100]|[10104|4200]],,troop_skin_break_desc5403,troop_skin_break_change_desc5403,[],-1,,[42|18|36],[42|18|36],26600,5403,6,,50,50,
540400,[1000105|700],[10103|300],[10104|600],[[1000105|700]|[10103|300]|[10104|600]],,troop_skin_break_desc5404,troop_skin_break_change_desc5404,[[2|2024544|1]],10,[2|2024544|1],[7|3|6],[7|3|6],1900,5404,0,,10,10,
540401,[1000105|1400],[10103|600],[10104|1200],[[1000105|1400]|[10103|600]|[10104|1200]],,troop_skin_break_desc5404,troop_skin_break_change_desc5404,[[2|2024544|1]],10,[2|2024544|1],[14|6|12],[14|6|12],3800,5404,1,,20,20,
540402,[1000105|2100],[10103|900],[10104|1800],[[1000105|2100]|[10103|900]|[10104|1800]],,troop_skin_break_desc5404,troop_skin_break_change_desc5404,[[2|2024544|2]],10,[2|2024544|2],[21|9|18],[21|9|18],5700,5404,2,,30,30,
540403,[1000105|2800],[10103|1200],[10104|2400],[[1000105|2800]|[10103|1200]|[10104|2400]],,troop_skin_break_desc5404,troop_skin_break_change_desc5404,[[2|2024544|3]],10,[2|2024544|3],[28|12|24],[28|12|24],9500,5404,3,,40,40,
540404,[1000105|3500],[10103|1500],[10104|3000],[[1000105|3500]|[10103|1500]|[10104|3000]],,troop_skin_break_desc5404,troop_skin_break_change_desc5404,[[2|2024544|3]],10,[2|2024544|3],[35|15|30],[35|15|30],15200,5404,4,,45,45,
540405,[1000105|4200],[10103|1800],[10104|3600],[[1000105|4200]|[10103|1800]|[10104|3600]],,troop_skin_break_desc5404,troop_skin_break_change_desc5404,[[2|2024544|3]],10,[2|2024544|3],[42|18|36],[42|18|36],20900,5404,5,,50,50,
540406,[1000105|4900],[10103|2100],[10104|4200],[[1000105|4900]|[10103|2100]|[10104|4200]],,troop_skin_break_desc5404,troop_skin_break_change_desc5404,[],-1,,[42|18|36],[42|18|36],26600,5404,6,,50,50,
540500,[1000104|800],[10103|300],[10104|600],[[1000104|800]|[10103|300]|[10104|600]],,troop_skin_break_desc5405,troop_skin_break_change_desc5405,[[2|2024545|1]],10,[2|2024545|1],[8|3|6],[8|3|6],1900,5405,0,,10,10,
540501,[1000104|1600],[10103|600],[10104|1200],[[1000104|1600]|[10103|600]|[10104|1200]],,troop_skin_break_desc5405,troop_skin_break_change_desc5405,[[2|2024545|1]],10,[2|2024545|1],[16|6|12],[16|6|12],3800,5405,1,,20,20,
540502,[1000104|2400],[10103|900],[10104|1800],[[1000104|2400]|[10103|900]|[10104|1800]],,troop_skin_break_desc5405,troop_skin_break_change_desc5405,[[2|2024545|2]],10,[2|2024545|2],[24|9|18],[24|9|18],5700,5405,2,,30,30,
540503,[1000104|3200],[10103|1200],[10104|2400],[[1000104|3200]|[10103|1200]|[10104|2400]],,troop_skin_break_desc5405,troop_skin_break_change_desc5405,[[2|2024545|3]],10,[2|2024545|3],[32|12|24],[32|12|24],9500,5405,3,,40,40,
540504,[1000104|4000],[10103|1500],[10104|3000],[[1000104|4000]|[10103|1500]|[10104|3000]],,troop_skin_break_desc5405,troop_skin_break_change_desc5405,[[2|2024545|3]],10,[2|2024545|3],[40|15|30],[40|15|30],15200,5405,4,,45,45,
540505,[1000104|4800],[10103|1800],[10104|3600],[[1000104|4800]|[10103|1800]|[10104|3600]],,troop_skin_break_desc5405,troop_skin_break_change_desc5405,[[2|2024545|3]],10,[2|2024545|3],[48|18|36],[48|18|36],20900,5405,5,,50,50,
540506,[1000104|5600],[10103|2100],[10104|4200],[[1000104|5600]|[10103|2100]|[10104|4200]],,troop_skin_break_desc5405,troop_skin_break_change_desc5405,[],-1,,[42|18|36],[42|18|36],26600,5405,6,,50,50,
540600,[1300105|100],[10103|300],[10104|600],[[1300105|100]|[10103|300]|[10104|600]|[10104|400]],,troop_skin_break_desc5406,troop_skin_break_change_desc5406,[[2|2024546|1]],10,[2|2024546|1],[1|3|6|4],[1|3|6|4],1900,5406,0,,10,10,[10104|400]
540601,[1300105|200],[10103|600],[10104|1200],[[1300105|200]|[10103|600]|[10104|1200]|[10104|800]],,troop_skin_break_desc5406,troop_skin_break_change_desc5406,[[2|2024546|1]],10,[2|2024546|1],[2|6|12|8],[2|6|12|8],3800,5406,1,,20,20,[10104|800]
540602,[1300105|300],[10103|900],[10104|1800],[[1300105|300]|[10103|900]|[10104|1800]|[10104|1200]],,troop_skin_break_desc5406,troop_skin_break_change_desc5406,[[2|2024546|2]],10,[2|2024546|2],[3|9|18|12],[3|9|18|12],5700,5406,2,,30,30,[10104|1200]
540603,[1300105|400],[10103|1200],[10104|2400],[[1300105|400]|[10103|1200]|[10104|2400]|[10104|1600]],,troop_skin_break_desc5406,troop_skin_break_change_desc5406,[[2|2024546|3]],10,[2|2024546|3],[4|12|24|16],[4|12|24|16],9500,5406,3,,40,40,[10104|1600]
540604,[1300105|500],[10103|1500],[10104|3000],[[1300105|500]|[10103|1500]|[10104|3000]|[10104|2000]],,troop_skin_break_desc5406,troop_skin_break_change_desc5406,[[2|2024546|3]],10,[2|2024546|3],[5|15|30|20],[5|15|30|20],15200,5406,4,,45,45,[10104|2000]
540605,[1300105|600],[10103|1800],[10104|3600],[[1300105|600]|[10103|1800]|[10104|3600]|[10104|2400]],,troop_skin_break_desc5406,troop_skin_break_change_desc5406,[[2|2024546|3]],10,[2|2024546|3],[6|18|36|24],[6|18|36|24],20900,5406,5,,50,50,[10104|2400]
540606,[1300105|700],[10103|2100],[10104|4200],[[1300105|700]|[10103|2100]|[10104|4200]|[10104|2800]],,troop_skin_break_desc5406,troop_skin_break_change_desc5406,[],-1,,[6|18|36|24],[6|18|36|24],26600,5406,6,,50,50,[10104|2800]
540700,[1300106|50],[10103|300],[10104|600],[[1300106|50]|[10103|300]|[10104|600]|[10188|50]],,troop_skin_break_desc5407,troop_skin_break_change_desc5407,[[2|2024547|1]],10,[2|2024547|1],[0.5|3|6|0.5],[0.5|3|6|0.5],1900,5407,0,,10,10,[10188|50]
540701,[1300106|100],[10103|600],[10104|1200],[[1300106|100]|[10103|600]|[10104|1200]|[10188|100]],,troop_skin_break_desc5407,troop_skin_break_change_desc5407,[[2|2024547|1]],10,[2|2024547|1],[1|6|12|1],[1|6|12|1],3800,5407,1,,20,20,[10188|100]
540702,[1300106|150],[10103|900],[10104|1800],[[1300106|150]|[10103|900]|[10104|1800]|[10188|150]],,troop_skin_break_desc5407,troop_skin_break_change_desc5407,[[2|2024547|2]],10,[2|2024547|2],[1.5|9|18|1.5],[1.5|9|18|1.5],5700,5407,2,,30,30,[10188|150]
540703,[1300106|200],[10103|1200],[10104|2400],[[1300106|200]|[10103|1200]|[10104|2400]|[10188|200]],,troop_skin_break_desc5407,troop_skin_break_change_desc5407,[[2|2024547|3]],10,[2|2024547|3],[2|12|24|2],[2|12|24|2],9500,5407,3,,40,40,[10188|200]
540704,[1300106|250],[10103|1500],[10104|3000],[[1300106|250]|[10103|1500]|[10104|3000]|[10188|250]],,troop_skin_break_desc5407,troop_skin_break_change_desc5407,[[2|2024547|3]],10,[2|2024547|3],[2.5|15|30|2.5],[2.5|15|30|2.5],15200,5407,4,,45,45,[10188|250]
540705,[1300106|300],[10103|1800],[10104|3600],[[1300106|300]|[10103|1800]|[10104|3600]|[10188|300]],,troop_skin_break_desc5407,troop_skin_break_change_desc5407,[[2|2024547|3]],10,[2|2024547|3],[3|18|36|3],[3|18|36|3],20900,5407,5,,50,50,[10188|300]
540706,[1300106|350],[10103|2100],[10104|4200],[[1300106|350]|[10103|2100]|[10104|4200]|[10188|350]],,troop_skin_break_desc5407,troop_skin_break_change_desc5407,[],-1,,[3|18|36|3],[3|18|36|3],26600,5407,6,,50,50,[10188|350]
550100,[48|200],[10103|400],[10104|800],[[48|200]|[10103|400]|[10104|800]],,troop_skin_break_desc5501,troop_skin_break_change_desc5501,[[2|2024551|1]],10,[2|2024551|1],[2|4|8],[2|4|8],5000,5501,0,,10,10,
550101,[48|400],[10103|800],[10104|1600],[[48|400]|[10103|800]|[10104|1600]],,troop_skin_break_desc5501,troop_skin_break_change_desc5501,[[2|2024551|1]],10,[2|2024551|1],[4|8|16],[4|8|16],10000,5501,1,,20,20,
550102,[48|600],[10103|1200],[10104|2400],[[48|600]|[10103|1200]|[10104|2400]],,troop_skin_break_desc5501,troop_skin_break_change_desc5501,[[2|2024551|2]],10,[2|2024551|2],[6|12|24],[6|12|24],15000,5501,2,,30,30,
550103,[48|800],[10103|1600],[10104|3200],[[48|800]|[10103|1600]|[10104|3200]],,troop_skin_break_desc5501,troop_skin_break_change_desc5501,[[2|2024551|3]],10,[2|2024551|3],[8|16|32],[8|16|32],25000,5501,3,,40,40,
550104,[48|1000],[10103|2000],[10104|4000],[[48|1000]|[10103|2000]|[10104|4000]],,troop_skin_break_desc5501,troop_skin_break_change_desc5501,[[2|2024551|3]],10,[2|2024551|3],[10|20|40],[10|20|40],40000,5501,4,,45,45,
550105,[48|1200],[10103|2400],[10104|4800],[[48|1200]|[10103|2400]|[10104|4800]],,troop_skin_break_desc5501,troop_skin_break_change_desc5501,[[2|2024551|3]],10,[2|2024551|3],[12|24|48],[12|24|48],55000,5501,5,,50,50,
550106,[48|1400],[10103|2800],[10104|5600],[[48|1400]|[10103|2800]|[10104|5600]],,troop_skin_break_desc5501,troop_skin_break_change_desc5501,[],-1,,[12|24|48],[12|24|48],70000,5501,6,,50,50,
550200,[45|160],[1076|1000],[10103|400],[[45|160]|[1076|1000]|[10103|400]|[10104|800]],,troop_skin_break_desc5502,troop_skin_break_change_desc5502,[[2|2024552|1]],10,[2|2024552|1],[1.6|10|4|8],[1.6|10|4|8],5000,5502,0,,10,10,[10104|800]
550201,[45|320],[1076|2000],[10103|800],[[45|320]|[1076|2000]|[10103|800]|[10104|1600]],,troop_skin_break_desc5502,troop_skin_break_change_desc5502,[[2|2024552|1]],10,[2|2024552|1],[3.2|20|8|16],[3.2|20|8|16],10000,5502,1,,20,20,[10104|1600]
550202,[45|480],[1076|3000],[10103|1200],[[45|480]|[1076|3000]|[10103|1200]|[10104|2400]],,troop_skin_break_desc5502,troop_skin_break_change_desc5502,[[2|2024552|2]],10,[2|2024552|2],[4.8|30|12|24],[4.8|30|12|24],15000,5502,2,,30,30,[10104|2400]
550203,[45|640],[1076|4000],[10103|1600],[[45|640]|[1076|4000]|[10103|1600]|[10104|3200]],,troop_skin_break_desc5502,troop_skin_break_change_desc5502,[[2|2024552|3]],10,[2|2024552|3],[6.4|40|16|32],[6.4|40|16|32],25000,5502,3,,40,40,[10104|3200]
550204,[45|800],[1076|5000],[10103|2000],[[45|800]|[1076|5000]|[10103|2000]|[10104|4000]],,troop_skin_break_desc5502,troop_skin_break_change_desc5502,[[2|2024552|3]],10,[2|2024552|3],[8|50|20|40],[8|50|20|40],40000,5502,4,,45,45,[10104|4000]
550205,[45|960],[1076|6000],[10103|2400],[[45|960]|[1076|6000]|[10103|2400]|[10104|4800]],,troop_skin_break_desc5502,troop_skin_break_change_desc5502,[[2|2024552|3]],10,[2|2024552|3],[9.6|60|24|48],[9.6|60|24|48],55000,5502,5,,50,50,[10104|4800]
550206,[45|1120],[1076|7000],[10103|2800],[[45|1120]|[1076|7000]|[10103|2800]|[10104|5600]],,troop_skin_break_desc5502,troop_skin_break_change_desc5502,[],-1,,[9.6|60|24|48],[9.6|60|24|48],70000,5502,6,,50,50,[10104|5600]
550300,[1000106|160],[1129|1000],[1114|1000],[[1000106|160]|[1129|1000]|[1114|1000]|[10103|400]|[10104|800]],,troop_skin_break_desc5503,troop_skin_break_change_desc5503,[[2|2024553|1]],10,[2|2024553|1],[1.6|1000|10|4|8],[1.6|1000|10|4|8],5000,5503,0,[10104|800],10,10,[10103|400]
550301,[1000106|320],[1129|2000],[1114|2000],[[1000106|320]|[1129|2000]|[1114|2000]|[10103|800]|[10104|1600]],,troop_skin_break_desc5503,troop_skin_break_change_desc5503,[[2|2024553|1]],10,[2|2024553|1],[3.2|2000|20|8|16],[3.2|2000|20|8|16],10000,5503,1,[10104|1600],20,20,[10103|800]
550302,[1000106|480],[1129|3000],[1114|3000],[[1000106|480]|[1129|3000]|[1114|3000]|[10103|1200]|[10104|2400]],,troop_skin_break_desc5503,troop_skin_break_change_desc5503,[[2|2024553|2]],10,[2|2024553|2],[4.8|3000|30|12|24],[4.8|3000|30|12|24],15000,5503,2,[10104|2400],30,30,[10103|1200]
550303,[1000106|640],[1129|4000],[1114|4000],[[1000106|640]|[1129|4000]|[1114|4000]|[10103|1600]|[10104|3200]],,troop_skin_break_desc5503,troop_skin_break_change_desc5503,[[2|2024553|3]],10,[2|2024553|3],[6.4|4000|40|16|32],[6.4|4000|40|16|32],25000,5503,3,[10104|3200],40,40,[10103|1600]
550304,[1000106|800],[1129|5000],[1114|5000],[[1000106|800]|[1129|5000]|[1114|5000]|[10103|2000]|[10104|4000]],,troop_skin_break_desc5503,troop_skin_break_change_desc5503,[[2|2024553|3]],10,[2|2024553|3],[8|5000|50|20|40],[8|5000|50|20|40],40000,5503,4,[10104|4000],45,45,[10103|2000]
550305,[1000106|960],[1129|6000],[1114|6000],[[1000106|960]|[1129|6000]|[1114|6000]|[10103|2400]|[10104|4800]],,troop_skin_break_desc5503,troop_skin_break_change_desc5503,[[2|2024553|3]],10,[2|2024553|3],[9.6|6000|60|24|48],[9.6|6000|60|24|48],55000,5503,5,[10104|4800],50,50,[10103|2400]
550306,[1000106|1120],[1129|7000],[1114|7000],[[1000106|1120]|[1129|7000]|[1114|7000]|[10103|2800]|[10104|5600]],,troop_skin_break_desc5503,troop_skin_break_change_desc5503,[],-1,,[9.6|6000|60|24|48],[9.6|6000|60|24|48],70000,5503,6,[10104|5600],50,50,[10103|2800]
550400,[1131|300],[1037|1],[10103|400],[[1131|300]|[1037|1]|[10103|400]|[10104|800]],,troop_skin_break_desc5504,troop_skin_break_change_desc5504,[[2|2024554|1]],10,[2|2024554|1],[3|1|4|8],[3|1|4|8],5000,5504,0,,10,10,[10104|800]
550401,[1131|600],[1037|2],[10103|800],[[1131|600]|[1037|2]|[10103|800]|[10104|1600]],,troop_skin_break_desc5504,troop_skin_break_change_desc5504,[[2|2024554|1]],10,[2|2024554|1],[6|2|8|16],[6|2|8|16],10000,5504,1,,20,20,[10104|1600]
550402,[1131|900],[1037|3],[10103|1200],[[1131|900]|[1037|3]|[10103|1200]|[10104|2400]],,troop_skin_break_desc5504,troop_skin_break_change_desc5504,[[2|2024554|2]],10,[2|2024554|2],[9|3|12|24],[9|3|12|24],15000,5504,2,,30,30,[10104|2400]
550403,[1131|1200],[1037|4],[10103|1600],[[1131|1200]|[1037|4]|[10103|1600]|[10104|3200]],,troop_skin_break_desc5504,troop_skin_break_change_desc5504,[[2|2024554|3]],10,[2|2024554|3],[12|4|16|32],[12|4|16|32],25000,5504,3,,40,40,[10104|3200]
550404,[1131|1500],[1037|5],[10103|2000],[[1131|1500]|[1037|5]|[10103|2000]|[10104|4000]],,troop_skin_break_desc5504,troop_skin_break_change_desc5504,[[2|2024554|3]],10,[2|2024554|3],[15|5|20|40],[15|5|20|40],40000,5504,4,,45,45,[10104|4000]
550405,[1131|1800],[1037|6],[10103|2400],[[1131|1800]|[1037|6]|[10103|2400]|[10104|4800]],,troop_skin_break_desc5504,troop_skin_break_change_desc5504,[[2|2024554|3]],10,[2|2024554|3],[18|6|24|48],[18|6|24|48],55000,5504,5,,50,50,[10104|4800]
550406,[1131|2100],[1037|7],[10103|2800],[[1131|2100]|[1037|7]|[10103|2800]|[10104|5600]],,troop_skin_break_desc5504,troop_skin_break_change_desc5504,[],-1,,[18|6|24|48],[18|6|24|48],70000,5504,6,,50,50,[10104|5600]
550500,[1300108|200],[10103|100],[10103|400],[[1300108|200]|[10103|100]|[10103|400]|[10104|800]],,troop_skin_break_desc5505,troop_skin_break_change_desc5505,[[2|2024555|1]],10,[2|2024555|1],[2|1|4|8],[2|1|4|8],5000,5505,0,,10,10,[10104|800]
550501,[1300108|400],[10103|200],[10103|800],[[1300108|400]|[10103|200]|[10103|800]|[10104|1600]],,troop_skin_break_desc5505,troop_skin_break_change_desc5505,[[2|2024555|1]],10,[2|2024555|1],[4|2|8|16],[4|2|8|16],10000,5505,1,,20,20,[10104|1600]
550502,[1300108|600],[10103|300],[10103|1200],[[1300108|600]|[10103|300]|[10103|1200]|[10104|2400]],,troop_skin_break_desc5505,troop_skin_break_change_desc5505,[[2|2024555|2]],10,[2|2024555|2],[6|3|12|24],[6|3|12|24],15000,5505,2,,30,30,[10104|2400]
550503,[1300108|800],[10103|400],[10103|1600],[[1300108|800]|[10103|400]|[10103|1600]|[10104|3200]],,troop_skin_break_desc5505,troop_skin_break_change_desc5505,[[2|2024555|3]],10,[2|2024555|3],[8|4|16|32],[8|4|16|32],25000,5505,3,,40,40,[10104|3200]
550504,[1300108|1000],[10103|500],[10103|2000],[[1300108|1000]|[10103|500]|[10103|2000]|[10104|4000]],,troop_skin_break_desc5505,troop_skin_break_change_desc5505,[[2|2024555|3]],10,[2|2024555|3],[10|5|20|40],[10|5|20|40],40000,5505,4,,45,45,[10104|4000]
550505,[1300108|1200],[10103|600],[10103|2400],[[1300108|1200]|[10103|600]|[10103|2400]|[10104|4800]],,troop_skin_break_desc5505,troop_skin_break_change_desc5505,[[2|2024555|3]],10,[2|2024555|3],[12|6|24|48],[12|6|24|48],55000,5505,5,,50,50,[10104|4800]
550506,[1300108|1400],[10103|700],[10103|2800],[[1300108|1400]|[10103|700]|[10103|2800]|[10104|5600]],,troop_skin_break_desc5505,troop_skin_break_change_desc5505,[],-1,,[12|6|24|48],[12|6|24|48],70000,5505,6,,50,50,[10104|5600]
550600,[15103|400],[15104|800],[10188|50],[[15103|400]|[15104|800]|[10188|50]|[1300106|50]|[21028|200]],,troop_skin_break_desc5506,troop_skin_break_change_desc5506,[[2|2024556|1]],10,[2|2024556|1],,[],5000,5506,0,[21028|200],10,10,[1300106|50]
550601,[15103|800],[15104|1600],[10188|100],[[15103|800]|[15104|1600]|[10188|100]|[1300106|100]|[21028|400]],,troop_skin_break_desc5506,troop_skin_break_change_desc5506,[[2|2024556|1]],10,[2|2024556|1],,[],10000,5506,1,[21028|400],20,20,[1300106|100]
550602,[15103|1200],[15104|2400],[10188|150],[[15103|1200]|[15104|2400]|[10188|150]|[1300106|150]|[21028|600]],,troop_skin_break_desc5506,troop_skin_break_change_desc5506,[[2|2024556|2]],10,[2|2024556|2],,[],15000,5506,2,[21028|600],30,30,[1300106|150]
550603,[15103|1600],[15104|3200],[10188|200],[[15103|1600]|[15104|3200]|[10188|200]|[1300106|200]|[21028|800]],,troop_skin_break_desc5506,troop_skin_break_change_desc5506,[[2|2024556|3]],10,[2|2024556|3],,[],25000,5506,3,[21028|800],40,40,[1300106|200]
550604,[15103|2000],[15104|4000],[10188|250],[[15103|2000]|[15104|4000]|[10188|250]|[1300106|250]|[21028|1000]],,troop_skin_break_desc5506,troop_skin_break_change_desc5506,[[2|2024556|3]],10,[2|2024556|3],,[],40000,5506,4,[21028|1000],45,45,[1300106|250]
550605,[15103|2400],[15104|4800],[10188|300],[[15103|2400]|[15104|4800]|[10188|300]|[1300106|300]|[21028|1200]],,troop_skin_break_desc5506,troop_skin_break_change_desc5506,[[2|2024556|3]],10,[2|2024556|3],,[],55000,5506,5,[21028|1200],50,50,[1300106|300]
550606,[15103|2800],[15104|5600],[10188|350],[[15103|2800]|[15104|5600]|[10188|350]|[1300106|350]|[21028|1400]],,troop_skin_break_desc5506,troop_skin_break_change_desc5506,[],-1,,,[],70000,5506,6,[21028|1400],50,50,[1300106|350]
550700,[13103|400],[13104|800],[10188|50],[[13103|400]|[13104|800]|[10188|50]|[1300106|50]|[21024|200]],,troop_skin_break_desc5507,troop_skin_break_change_desc5507,[[2|2024557|1]],10,[2|2024557|1],,[],5000,5507,0,[21024|200],10,10,[1300106|50]
550701,[13103|800],[13104|1600],[10188|100],[[13103|800]|[13104|1600]|[10188|100]|[1300106|100]|[21024|400]],,troop_skin_break_desc5507,troop_skin_break_change_desc5507,[[2|2024557|1]],10,[2|2024557|1],,[],10000,5507,1,[21024|400],20,20,[1300106|100]
