id,accumulated_rewards,accumulated_vip,cost_id,cost_price_one,cost_price_ten,cost_type,diamond_cost,fixed_group,limit,luck_goodsid,luckgem_alliancegift_rewardid,luckgem_goodsid,luckmax_num,must_drop,random_group,rewardsData,rewardVIPsData,turntable_reward
1,[25|9669002|50|9669003|100|9669004|150|9669005|200|9669006],,204001,1,9,2,750,-1,666,-1,-1,-1,-1,204002,,[[25|9669002]|[50|9669003]|[100|9669004]|[150|9669005]|[200|9669006]],[],9669001
2,[25|75202|50|75203|100|75204|150|75205|200|75206],,204001,1,9,2,750,-1,500,-1,-1,-1,-1,204002,,[[25|75202]|[50|75203]|[100|75204]|[150|75205]|[200|75206]],[],75201
3,[25|9056002|50|9056003|100|9056004|150|9056005|200|9056006],,204001,1,9,2,750,-1,500,-1,-1,-1,-1,204002,,[[25|9056002]|[50|9056003]|[100|9056004]|[150|9056005]|[200|9056006]],[],9056001
4,[50|9159015|70|9159016|120|9159017|150|9159018|250|9159019],,204001,1,9,2,750,-1,500,-1,-1,-1,-1,204002,,[[50|9159015]|[70|9159016]|[120|9159017]|[150|9159018]|[250|9159019]],[],9159014
5,[70|9229901|150|9229902|250|9229903|400|9229904|600|9229905],,204001,1,9,2,750,1,500,-1,-1,-1,-1,-1,2|4,[[70|9229901]|[150|9229902]|[250|9229903]|[400|9229904]|[600|9229905]],[],-1
6,[30|9229802|50|9229803|70|9229804|100|9229805|150|9229806|2000|9229807],,204001,1,9,2,750,-1,666,-1,-1,-1,-1,204002,,[[30|9229802]|[50|9229803]|[70|9229804]|[100|9229805]|[150|9229806]|[2000|9229807]],[],9229801
8,[30|9279002|60|9279003|100|9279004|200|9279005|400|9279006],,204001,1,9,2,750,-1,666,-1,-1,-1,-1,204002,,[[30|9279002]|[60|9279003]|[100|9279004]|[200|9279005]|[400|9279006]],[],9279001
9,[50|10124101|100|10124102|150|10124103|250|10124104|500|10124105],,204001,1,9,2,750,-1,666,1008001,63,1008002,30,-1,,[[50|10124101]|[100|10124102]|[150|10124103]|[250|10124104]|[500|10124105]],[],10126001
10,[50|10193101|100|10193102|150|10193103|250|10193104|500|10193105],,204001,1,9,2,750,-1,666,1008001,63,1008002,30,-1,,[[50|10193101]|[100|10193102]|[150|10193103]|[250|10193104]|[500|10193105]],[],10193001
11,[50|10201101|100|10201102|150|10201103|250|10201104|500|10201105],,204001,1,9,2,750,-1,666,1008001,63,1008002,30,-1,,[[50|10201101]|[100|10201102]|[150|10201103]|[250|10201104]|[500|10201105]],[],10201001
