id,act_1,act_2,act_3,act_time_1,act_time_2,act_time_3,actNameList,actTimeList,FX_1,FX_2,FX_3,FX_appear_1,FX_appear_2,FX_appear_3,FX_position_1,FX_position_2,FX_position_3,FX_scale_1,FX_scale_2,FX_scale_3,FX_time_1,FX_time_2,FX_time_3,fxAppearTimeList,fxPathList,fxPositionList,fxScaleList,fxTimeList
10001,skill1,,,1433,-1,-1,[skill1],[1433],Effect/Battle/Humam_Skill1_SF,Effect/Battle/Humam_Skill1,,0,400,-1,0|0,0|0,,100,100,-1,500,1500,-1,[0|400],[Effect/Battle/Humam_Skill1_SF|Effect/Battle/Humam_Skill1],[[0|0]|[0|0]],[100|100],[500|1500]
10002,skill1,,,1667,-1,-1,[skill1],[1667],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,,,0,-1,-1,0|0,,,100,-1,-1,500,-1,-1,[0],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01],[[0|0]],[100],[500]
10003,skill1,,,1833,-1,-1,[skill1],[1833],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/Healing_SF_Skill_2,,0,400,-1,0|0,0|0,,100,100,-1,500,500,-1,[0|400],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/Healing_SF_Skill_2],[[0|0]|[0|0]],[100|100],[500|500]
10004,skill1,,,1167,-1,-1,[skill1],[1167],Effect/Battle/Knight_Skill2_SF,Effect/Battle/Knight_Skill2_Dilie2,,0,600,-1,0|0,0|0,,100,100,-1,1000,1000,-1,[0|600],[Effect/Battle/Knight_Skill2_SF|Effect/Battle/Knight_Skill2_Dilie2],[[0|0]|[0|0]],[100|100],[1000|1000]
10005,skill1,,,1633,-1,-1,[skill1],[1633],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/Dance_SF_skill_2_n,,0,333,-1,0|0,0|0,,100,100,-1,500,2000,-1,[0|333],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/Dance_SF_skill_2_n],[[0|0]|[0|0]],[100|100],[500|2000]
10006,skill1,,,1900,-1,-1,[skill1],[1900],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,,,0,-1,-1,0|0,,,100,-1,-1,500,-1,-1,[0],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01],[[0|0]],[100],[500]
10007,skill1,,,2133,-1,-1,[skill1],[2133],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/Trade_Skill02,,0,700,-1,0|0,0|0,,100,50,-1,500,2000,-1,[0|700],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/Trade_Skill02],[[0|0]|[0|0]],[100|50],[500|2000]
10008,skill2,,,1767,-1,-1,[skill2],[1767],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/Druid_SF_Skill2,,0,700,-1,0|0,0|0,,100,100,-1,500,3000,-1,[0|700],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/Druid_SF_Skill2],[[0|0]|[0|0]],[100|100],[500|3000]
10009,skill1,,,2067,-1,-1,[skill1],[2067],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/Fx_Ironsmith_Skill_02,,0,533,-1,0|0,0|0,,100,100,-1,500,2000,-1,[0|533],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/Fx_Ironsmith_Skill_02],[[0|0]|[0|0]],[100|100],[500|2000]
10010,skill1,,,2000,-1,-1,[skill1],[2000],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/Fx_Guard_Skill_02,,0,267,-1,0|0,0|0,,100,100,-1,500,1500,-1,[0|267],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/Fx_Guard_Skill_02],[[0|0]|[0|0]],[100|100],[500|1500]
10011,skill1,,,1333,-1,-1,[skill1],[1333],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,,,0,-1,-1,0|0,,,100,-1,-1,500,-1,-1,[0],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01],[[0|0]],[100],[500]
10012,skill1,,,1933,-1,-1,[skill1],[1933],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/Fx_Pathfinder_Skill_02,,0,500,-1,0|0,0|0,,100,100,-1,500,2000,-1,[0|500],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/Fx_Pathfinder_Skill_02],[[0|0]|[0|0]],[100|100],[500|2000]
10013,skill1,,,1767,-1,-1,[skill1],[1767],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/Fx_Priest_Skill_3_SF,,0,0,-1,0|0,0|0,,100,45,-1,500,2000,-1,[0|0],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/Fx_Priest_Skill_3_SF],[[0|0]|[0|0]],[100|45],[500|2000]
10014,skill1,,,1167,-1,-1,[skill1],[1167],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,,,0,-1,-1,0|0,,,100,-1,-1,500,-1,-1,[0],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01],[[0|0]],[100],[500]
10015,skill1,,,1567,-1,-1,[skill1],[1567],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/Convict_Attack_Skill1,,0,300,-1,0|0,0|0,,100,100,-1,500,2000,-1,[0|300],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/Convict_Attack_Skill1],[[0|0]|[0|0]],[100|100],[500|2000]
10016,skill1,,,1233,-1,-1,[skill1],[1233],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/Fighter_Skill1,Effect/Battle/Fighter_Skill2,0,500,500,0|0,0|0,0|0,100,100,100,500,1000,2000,[0|500|500],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/Fighter_Skill1|Effect/Battle/Fighter_Skill2],[[0|0]|[0|0]|[0|0]],[100|100|100],[500|1000|2000]
10017,skill2,,,1700,-1,-1,[skill2],[1700],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/Barbarian_Skill2,,0,450,-1,0|0,0|0,,100,45,-1,500,1000,-1,[0|450],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/Barbarian_Skill2],[[0|0]|[0|0]],[100|45],[500|1000]
10018,skill2,,,1967,-1,-1,[skill2],[1967],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/SecretKeeper_Skill2_n2,,0,1033,-1,0|0,0|0,,100,60,-1,500,2000,-1,[0|1033],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/SecretKeeper_Skill2_n2],[[0|0]|[0|0]],[100|60],[500|2000]
10019,skill3,,,1667,-1,-1,[skill3],[1667],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/TreeGuard_Skill2,,0,0,-1,0|0,0|0,,100,100,-1,500,3000,-1,[0|0],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/TreeGuard_Skill2],[[0|0]|[0|0]],[100|100],[500|3000]
10020,skill2,skill2_loop,skill2_end,500,2330,633,[skill2|skill2_loop|skill2_end],[500|2330|633],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/Swordinstructor_Skill2,,0,467,-1,0|0,0|0,,100,100,-1,500,2330,-1,[0|467],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/Swordinstructor_Skill2],[[0|0]|[0|0]],[100|100],[500|2330]
10021,skill3,,,1267,-1,-1,[skill3],[1267],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/Watchman_Skill3,,0,400,-1,0|0,0|0,,100,100,-1,500,2000,-1,[0|400],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/Watchman_Skill3],[[0|0]|[0|0]],[100|100],[500|2000]
10022,skill2,,,1500,-1,-1,[skill2],[1500],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/Headhunter_Skill2,,0,233,-1,0|0,0|0,,100,100,-1,500,1500,-1,[0|233],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/Headhunter_Skill2],[[0|0]|[0|0]],[100|100],[500|1500]
10023,skill2,,,1767,-1,-1,[skill2],[1767],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/WilderHunter_Skill2,,0,367,-1,0|0,0|0,,100,100,-1,500,2000,-1,[0|367],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/WilderHunter_Skill2],[[0|0]|[0|0]],[100|100],[500|2000]
10024,skill2,,,2333,-1,-1,[skill2],[2333],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/AstrologyScholar_Skill2_SF,,0,600,-1,0|0,0|0,,100,100,-1,500,1000,-1,[0|600],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/AstrologyScholar_Skill2_SF],[[0|0]|[0|0]],[100|100],[500|1000]
10025,skill2,,,1600,-1,-1,[skill2],[1600],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/Fx_FireMage_Skill2_SF,Effect/Battle/Fx_FireMage_Skill2_02,0,700,300,0|0,0|0,0|0,100,100,100,500,2000,4000,[0|700|300],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/Fx_FireMage_Skill2_SF|Effect/Battle/Fx_FireMage_Skill2_02],[[0|0]|[0|0]|[0|0]],[100|100|100],[500|2000|4000]
