id,desc1,gameurl,gameurl_global,jsonurl,name
1,保龄球,gamecenter/blq/play.html,gamecenter/blq/play.html,gamecenter/blq-mini/res/game.json,保龄球
2,倍增跑,gamecenter/bzp/play.html,gamecenter/bzp/play.html,gamecenter/bzp-mini/res/game.json,倍增跑
3,吃个鸡,gamecenter/cgj/play.html,gamecenter/cgj/play.html,gamecenter/cgj-mini/res/game.json,吃个鸡
4,打墩子,gamecenter/ddz/play.html,gamecenter/ddz/play.html,gamecenter/ddz-mini/res/game.json,打墩子
5,打房子,gamecenter/dfz/play.html,gamecenter/dfz/play.html,gamecenter/dfz-mini/res/game.json,打房子
6,地牢挖墙,gamecenter/dlwq/play.html,gamecenter/dlwq/play.html,gamecenter/dlwq-mini/res/game.json,地牢挖墙
7,躲藏抓,gamecenter/dcz/play.html,gamecenter/dcz/play.html,gamecenter/dcz-mini/res/game.json,躲藏抓
8,符文大师,gamecenter/fwds/play.html,gamecenter/fwds/play.html,gamecenter/fwds-mini/res/game.json,符文大师
9,公平竞争3D版,gamecenter/gpjz/play.html,gamecenter/gpjz/play.html,gamecenter/gpjz-mini/res/game.json,公平竞争3D版
10,黑色幽默,gamecenter/heym/play.html,gamecenter/heym/play.html,gamecenter/heym-mini/res/game.json,黑色幽默
11,虎追羊,gamecenter/hzy/play.html,gamecenter/hzy/play.html,gamecenter/hzy-mini/res/game.json,虎追羊
12,极限生存绿地版,gamecenter/jxscld/play.html,gamecenter/jxscld/play.html,gamecenter/jxscld-mini/res/game.json,极限生存绿地版
13,加速世界th,gamecenter/jssj/play.html,gamecenter/jssj/play.html,gamecenter/jssj-mini/res/game.json,加速世界th
14,就是不服,gamecenter/jsbf/play.html,gamecenter/jsbf/play.html,gamecenter/jsbf-mini/res/game.json,就是不服
15,柳暗花明,gamecenter/lahm/play.html,gamecenter/lahm/play.html,gamecenter/lahm-mini/res/game.json,柳暗花明
16,龙头蛇,gamecenter/lts/play.html,gamecenter/lts/play.html,gamecenter/lts-mini/res/game.json,龙头蛇
17,买英雄,gamecenter/myx/play.html,gamecenter/myx/play.html,gamecenter/myx-mini/res/game.json,买英雄
