id,attrs,effect,effect_b,freeIcons,level,vip_exchange,vip_free,vip_free_icon,vip_point
1,<ERROR:TargetInvocationException>,,,[special_box1|special_box1|special_box1],0,-1,9200001,[special_box1|special_box1|special_box1],0
2,<ERROR:TargetInvocationException>,[1014|350|1012|350|1052|350|1001|350|1094|2],[1014|350|1012|350|1052|350|1001|350|1094|2],[special_box1|special_box1|special_box1],1,406270001,9200001,[special_box1|special_box1|special_box1],6
3,<ERROR:TargetInvocationException>,[1058|300|1014|700|1012|700|1052|700|1001|700|1094|2],[1058|300|1014|700|1012|700|1052|700|1001|700|1094|2],[special_box1|special_box1|special_box1],2,406270002,9200002,[special_box1|special_box1|special_box1],30
4,<ERROR:TargetInvocationException>,[1057|500|1058|400|1014|1000|1012|1000|1052|1000|1001|1000|1094|4|1044|1|1185|1],[1057|500|1058|400|1014|1000|1012|1000|1052|1000|1001|1000|1094|4|1044|1|1185|1],[special_box1|special_box1|special_box1],3,406270003,9200003,[special_box1|special_box1|special_box1],100
5,<ERROR:TargetInvocationException>,[1010|10|1057|600|1058|500|1014|1200|1012|1200|1052|1200|1001|1200|1094|4|1044|1|1143|1|1185|1],[1010|10|1057|600|1058|500|1014|1200|1012|1200|1052|1200|1001|1200|1094|4|1044|1|1143|1|1185|1],[special_box1|special_box1|special_box1],4,406270004,9200004,[special_box1|special_box1|special_box1],300
6,<ERROR:TargetInvocationException>,[1034|500|1010|15|1002|500|1057|700|1058|600|1014|1500|1012|1500|1052|1500|1001|1500|1094|7|1044|2|1143|1|1127|1|1167|5|1185|1],[1034|500|1010|15|1002|500|1057|700|1058|600|1014|1500|1012|1500|1052|1500|1001|1500|1094|7|1044|2|1143|1|1127|1|1167|5|1185|1],[special_box1|special_box1|special_box1],5,406270005,9200005,[special_box1|special_box1|special_box1],500
7,<ERROR:TargetInvocationException>,[1022|200|1016|200|1034|1000|1010|20|1002|800|1057|800|1058|700|1014|2000|1012|2000|1052|2000|1001|2000|1094|7|1044|2|1143|1|1127|1|1167|10|1185|1],[1022|200|1016|200|1034|1000|1010|20|1002|800|1057|800|1058|700|1014|2000|1012|2000|1052|2000|1001|2000|1094|7|1044|2|1143|1|1127|1|1167|10|1185|1],[special_box1|special_box1|special_box1],6,406270006,9200006,[special_box1|special_box1|special_box1],1000
8,<ERROR:TargetInvocationException>,[1033|200|1022|400|1016|400|1034|1500|1010|20|1002|1200|1057|900|1058|800|1014|2500|1012|2500|1052|2500|1001|2500|1094|9|1044|2|1143|1|1127|1|1167|10|1178|1|1185|1],[1033|200|1022|400|1016|400|1034|1500|1010|20|1002|1200|1057|900|1058|800|1014|2500|1012|2500|1052|2500|1001|2500|1094|9|1044|2|1143|1|1127|1|1167|10|1178|1|1185|1],[special_box1|special_box1|special_box1],7,406270007,9200007,[special_box1|special_box1|special_box1],3000
9,<ERROR:TargetInvocationException>,[10104|500|1033|400|1022|600|1016|600|1034|2000|1010|20|1002|1500|1057|1000|1058|1000|1014|2700|1012|2700|1052|2700|1001|2700|1094|9|1044|2|1194|1|1143|1|1127|1|1167|10|1178|1|1185|1|1189|1|1196|1],[10104|500|1033|400|1022|600|1016|600|1034|2000|1010|20|1002|1500|1057|1000|1058|1000|1014|2700|1012|2700|1052|2700|1001|2700|1094|9|1044|2|1194|1|1143|1|1127|1|1167|10|1178|1|1185|1|1189|1|1196|1],[special_box1|special_box1|special_box1],8,406270008,9200008,[special_box1|special_box1|special_box1],6000
10,<ERROR:TargetInvocationException>,[1032|100|10104|600|1033|600|1022|800|1016|800|1034|2300|1010|20|1002|1800|1057|1000|1058|1000|1014|3000|1012|3000|1052|3000|1001|3000|1094|12|1044|2|1194|1|1143|1|1127|1|1167|10|1178|1|1185|1|1189|1|1196|1|1220|1|1238|1],[1032|100|10104|600|1033|600|1022|800|1016|800|1034|2300|1010|20|1002|1800|1057|1000|1058|1000|1014|3000|1012|3000|1052|3000|1001|3000|1094|12|1044|2|1194|1|1143|1|1127|1|1167|10|1178|1|1185|1|1189|1|1196|1|1220|1|1238|1],[special_box1|special_box1|special_box1],9,406270009,9200009,[special_box1|special_box1|special_box1],10000
