id,buff,buff_icon,buffArr,color,water_first_number,water_last_number,water_state
1,"1072|10000,64|5000,1022|5000,1131|600",,[[1072|10000]|[64|5000]|[1022|5000]|[1131|600]],3,10000,30000,3
2,"1072|10000,64|5000,1022|5000,1131|600",,[[1072|10000]|[64|5000]|[1022|5000]|[1131|600]],2,8000,9999,2
3,"1072|10000,64|5000,1022|5000,1131|600",,[[1072|10000]|[64|5000]|[1022|5000]|[1131|600]],2,7000,7999,2
4,"1072|10000,64|5000,1022|5000,1131|600",,[[1072|10000]|[64|5000]|[1022|5000]|[1131|600]],2,6000,6999,2
5,"1072|9000,64|5000,1022|5000,1131|600",,[[1072|9000]|[64|5000]|[1022|5000]|[1131|600]],2,5000,5999,2
6,"1072|8000,64|4000,1022|4000,1131|500",,[[1072|8000]|[64|4000]|[1022|4000]|[1131|500]],2,4000,4999,2
7,"1072|6000,64|3000,1022|3000,1131|400",,[[1072|6000]|[64|3000]|[1022|3000]|[1131|400]],2,3000,3999,2
8,"1072|0,64|0,1022|0,1131|0",,[[1072|0]|[64|0]|[1022|0]|[1131|0]],2,2000,2999,2
9,"1072|-500,64|0,1022|0,1131|0",,[[1072|-500]|[64|0]|[1022|0]|[1131|0]],2,1000,1999,2
10,"1072|-1000,64|0,1022|-500,1131|0",,[[1072|-1000]|[64|0]|[1022|-500]|[1131|0]],2,0,999,2
11,"1072|-1500,64|0,1022|-1000,1131|-100",,[[1072|-1500]|[64|0]|[1022|-1000]|[1131|-100]],1,-1000,-1,1
12,"1072|-2000,64|0,1022|-1500,1131|-200",,[[1072|-2000]|[64|0]|[1022|-1500]|[1131|-200]],1,-2000,-1001,1
13,"1072|-2500,64|0,1022|-2000,1131|-300",,[[1072|-2500]|[64|0]|[1022|-2000]|[1131|-300]],1,-3000,-2001,1
14,"1072|-3000,64|0,1022|-2500,1131|-400",,[[1072|-3000]|[64|0]|[1022|-2500]|[1131|-400]],1,-4000,-3001,1
15,"1072|-3500,64|0,1022|-3000,1131|-500",,[[1072|-3500]|[64|0]|[1022|-3000]|[1131|-500]],1,-5000,-4001,1
16,"1072|-3500,64|0,1022|-3000,1131|-500",,[[1072|-3500]|[64|0]|[1022|-3000]|[1131|-500]],1,-6000,-5001,1
17,"1072|-3500,64|0,1022|-3000,1131|-500",,[[1072|-3500]|[64|0]|[1022|-3000]|[1131|-500]],1,-7000,-6001,1
18,"1072|-3500,64|0,1022|-3000,1131|-500",,[[1072|-3500]|[64|0]|[1022|-3000]|[1131|-500]],1,-8000,-7001,1
19,"1072|-3500,64|0,1022|-3000,1131|-500",,[[1072|-3500]|[64|0]|[1022|-3000]|[1131|-500]],1,-9000,-8001,1
20,"1072|-3500,64|0,1022|-3000,1131|-500",,[[1072|-3500]|[64|0]|[1022|-3000]|[1131|-500]],1,-10000,-9001,1
21,"1072|-3500,64|0,1022|-3000,1131|-500",,[[1072|-3500]|[64|0]|[1022|-3000]|[1131|-500]],1,-11000,-10001,1
22,"1072|-3500,64|0,1022|-3000,1131|-500",,[[1072|-3500]|[64|0]|[1022|-3000]|[1131|-500]],1,-12000,-11001,1
23,"1072|-3500,64|0,1022|-3000,1131|-500",,[[1072|-3500]|[64|0]|[1022|-3000]|[1131|-500]],1,-13000,-12001,1
24,"1072|-3500,64|0,1022|-3000,1131|-500",,[[1072|-3500]|[64|0]|[1022|-3000]|[1131|-500]],1,-14000,-13001,1
25,"1072|-3500,64|0,1022|-3000,1131|-500",,[[1072|-3500]|[64|0]|[1022|-3000]|[1131|-500]],1,-15000,-14001,1
26,"1072|-3500,64|0,1022|-3000,1131|-500",,[[1072|-3500]|[64|0]|[1022|-3000]|[1131|-500]],1,-16000,-15001,1
27,"1072|-3500,64|0,1022|-3000,1131|-500",,[[1072|-3500]|[64|0]|[1022|-3000]|[1131|-500]],1,-17000,-16001,1
28,"1072|-3500,64|0,1022|-3000,1131|-500",,[[1072|-3500]|[64|0]|[1022|-3000]|[1131|-500]],1,-18000,-17001,1
29,"1072|-3500,64|0,1022|-3000,1131|-500",,[[1072|-3500]|[64|0]|[1022|-3000]|[1131|-500]],1,-19000,-18001,1
30,"1072|-3500,64|0,1022|-3000,1131|-500",,[[1072|-3500]|[64|0]|[1022|-3000]|[1131|-500]],1,-20000,-19001,1
31,"1072|-3500,64|0,1022|-3000,1131|-500",,[[1072|-3500]|[64|0]|[1022|-3000]|[1131|-500]],1,-21000,-20001,1
32,"1072|-3500,64|0,1022|-3000,1131|-500",,[[1072|-3500]|[64|0]|[1022|-3000]|[1131|-500]],1,-22000,-21001,1
33,"1072|-3500,64|0,1022|-3000,1131|-500",,[[1072|-3500]|[64|0]|[1022|-3000]|[1131|-500]],1,-23000,-22001,1
34,"1072|-9900,64|0,1022|-9900,1131|-9900",,[[1072|-9900]|[64|0]|[1022|-9900]|[1131|-9900]],1,-25000,-23001,1
