id,icon,order,scene,type
1,func_27,2000,1,1001
2,func_38,130,1|2,2001
3,func_31,1100,1|2,2002
4,func_39,110,1|2,2003
5,func_45,1100,1|2,2004
6,remote:Icon_Function/Activity_340.png,1100,1|2,2005
7,Activity_51,100,1|2,2006
8,Activity_373,120,1|2,2007
9,icon_Season_WorldTree,1500,1|2,2008
10,Activity_429,1100,1|2,2009
11,Activity_467,140,1|2,2010
12,Activity_529,130,1|2,2011
13,Activity_315,1000,1|2,2012
14,Activity_568,1000,1|2,2013
15,Activity_596,120,1|2,2014
16,Activity_232,150,1|2,2015
17,Activity_604,1000,1|2,2016
18,Activity_700,120,1|2,2017
19,func_hospital,2000,1,2018
20,alliance_rukou_bangzhu_hospital,2000,1,2019
21,func_29,2000,1,2020
22,icon_batboss_s3_10,150,1|2,2021
23,Head_60377,1500,1|2,2022
24,icon_SecretRealmMine_01,160,1|2,2023
25,icon_Hoe,170,1|2,2024
26,icon_batboss_s1_10,150,1|2,2021
27,Head_64007,1500,1|2,2022
28,icon_batboss_s2_10,150,1|2,2021
29,Head_60318,1500,1|2,2022
30,Activity_859,1600,1|2,2025
31,Activity_873,120,1|2,2026
32,Activity_961,120,1|2,2027
33,Activity_827,1500,1|2,2028
34,Activity_829,1500,1|2,2029
35,Activity_861,1500,1|2,2030
36,Activity_946,1500,1|2,2031
37,func_38,1500,1|2,2032
38,icon_KingTtansfer01,1,,2033
39,func_78,2,1|2,2034
40,func_78,2,1|2,2035
41,func_78,2,1|2,2036
42,func_78,2,1|2,2037
