id,picAtlas,scale,anim,anim_2,anim_2_f,anim_f,attr_equip,attr_equip_f,attr_own,attr_own_f,auto_use,avatar,avatar_birth,avatar_birth_f,avatar_f,avatar_idle,avatar_idle_f,building_lv,City_building_resource,City_building_resource_f,conversion_goods,cost,costArr,desc,fightforce,group,Hall_icon,hide,large,level,name,offsetX,offsetY,pic,pic_atlas,pic_f,position1,quality,scale1,scale2,server_list,serverSet,sex,shield_scale,skill_effect_buff,source_goods,territory_anim,territory_desc,territory_param,territory_range,unlock_days,world_skin_skill
0,Atlas/UI_Worldskin,1.4,castle_face_1,,,castle_face_1,,,,,-1,,,,,,,[117|0],Building/Building_Base_0,Building/Building_Base_0,999|2|0,,[],,100,0,Building_chengjiandating,-1,2,1,skin_name_001,0,0,worldskin_01,Atlas/UI_Worldskin,worldskin_01,[0|0],1,140,100,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],1,150,-1,-1,,,,-1,-1,-1
10,Atlas/UI_Worldskin,1.7,castle_face_1,,,castle_face_1,,,,,-1,,,,,,,[117|1],Avatar/Spine/Building/chengjiandating_1,Avatar/Spine/Building/chengjiandating_1,999|2|0,,[],,100,0,Building_chengjiandating,1,2,2,skin_name_001,0,0,worldskin_01,Atlas/UI_Worldskin,worldskin_01,[0|0],1,170,180,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],1,150,-1,-1,,,,-1,-1,-1
20,Atlas/UI_Worldskin,1.6,castle_face_20,,,castle_face_20,,,,,-1,,,,,,,[117|10],Avatar/Spine/Building/chengjiandating_2,Avatar/Spine/Building/chengjiandating_2,999|2|0,,[],,100,0,Building_chengjiandating,1,2,3,skin_name_001,0,0,worldskin_02,Atlas/UI_Worldskin,worldskin_02,[0|0],1,160,180,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],1,150,-1,-1,,,,-1,-1,-1
30,Atlas/UI_Worldskin,1.6,castle_face_30,,,castle_face_30,,,,,-1,,,,,,,[117|20],Avatar/Spine/Building/chengjiandating_3,Avatar/Spine/Building/chengjiandating_3,999|2|0,,[],,100,0,Building_chengjiandating,1,2,4,skin_name_001,0,0,worldskin_03,Atlas/UI_Worldskin,worldskin_03,[0|0],1,160,180,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],1,150,-1,-1,,,,-1,-1,-1
40,Atlas/UI_Worldskin,1.65,castle_face_40,,,castle_face_40,,,,,-1,,,,,,,[117|30],Avatar/Spine/Building/chengjiandating_4,Avatar/Spine/Building/chengjiandating_4,999|2|0,,[],,100,0,Building_chengjiandating,1,2,5,skin_name_001,0,0,worldskin_04,Atlas/UI_Worldskin,worldskin_04,[0|0],1,165,200,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],1,150,-1,-1,,,,-1,-1,-1
1,Atlas/UI_Worldskin,1.4,castle_face_1,,,castle_face_1,,,,,-1,,,,,,,[117|0],Building/Building_Base_0,Building/Building_Base_0,999|2|0,,[],,100,1,Building_chengjiandating,-1,2,1,skin_name_001,0,0,worldskin_01,Atlas/UI_Worldskin,worldskin_01,[0|0],1,140,100,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],2,150,-1,-1,,,,-1,-1,-1
11,Atlas/UI_Worldskin,1.7,castle_face_1,,,castle_face_1,,,,,-1,,,,,,,[117|1],Avatar/Spine/Building/chengjiandating_1,Avatar/Spine/Building/chengjiandating_1,999|2|0,,[],,100,1,Building_chengjiandating,1,2,2,skin_name_001,0,0,worldskin_01,Atlas/UI_Worldskin,worldskin_01,[0|0],1,170,180,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],2,150,-1,-1,,,,-1,-1,-1
21,Atlas/UI_Worldskin,1.6,castle_face_20,,,castle_face_20,,,,,-1,,,,,,,[117|10],Avatar/Spine/Building/chengjiandating_2,Avatar/Spine/Building/chengjiandating_2,999|2|0,,[],,100,1,Building_chengjiandating,1,2,3,skin_name_001,0,0,worldskin_02,Atlas/UI_Worldskin,worldskin_02,[0|0],1,160,180,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],2,150,-1,-1,,,,-1,-1,-1
31,Atlas/UI_Worldskin,1.6,castle_face_30,,,castle_face_30,,,,,-1,,,,,,,[117|20],Avatar/Spine/Building/chengjiandating_3,Avatar/Spine/Building/chengjiandating_3,999|2|0,,[],,100,1,Building_chengjiandating,1,2,4,skin_name_001,0,0,worldskin_03,Atlas/UI_Worldskin,worldskin_03,[0|0],1,160,180,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],2,150,-1,-1,,,,-1,-1,-1
41,Atlas/UI_Worldskin,1.65,castle_face_40,,,castle_face_40,,,,,-1,,,,,,,[117|30],Avatar/Spine/Building/chengjiandating_4,Avatar/Spine/Building/chengjiandating_4,999|2|0,,[],,100,1,Building_chengjiandating,1,2,5,skin_name_001,0,0,worldskin_04,Atlas/UI_Worldskin,worldskin_04,[0|0],1,165,200,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],2,150,-1,-1,,,,-1,-1,-1
100,Atlas/UI_Worldskin,1.6,castle_face_100,,,castle_face_100f,[10104|1000],[10104|1000],[1017|5|1016|1500|1032|1500],[1017|5|1016|1500|1032|1500],1,,,,,,,,Avatar/Spine/Building/chengjiandating_100,Avatar/Spine/Building/chengjiandating_100f,999|2|5000,,[],skin_desc_100,20000,100,Building_chengjiandating,-1,2,1,skin_name_100,0,0,worldskin_100,Atlas/UI_Worldskin,worldskin_100f,[0|0],4,160,170,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,-1,-1,,,,-1,-1,-1
10001,Atlas/UI_Worldskin,1.6,castle_face_100,,,castle_face_100f,[10104|1000],[10104|1000],[1017|7|1016|1600|1032|1700|1019|2],[1017|7|1016|1600|1032|1700|1019|2],1,,,,,,,,Avatar/Spine/Building/chengjiandating_100,Avatar/Spine/Building/chengjiandating_100f,999|2|5000,[2|314|5],[[2|314|5]],skin_desc_100,25000,100,Building_chengjiandating,-1,2,2,skin_name_100,0,0,worldskin_100,Atlas/UI_Worldskin,worldskin_100f,[0|0],4,160,170,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,-1,-1,,,,-1,-1,-1
10002,Atlas/UI_Worldskin,1.6,castle_face_100,,,castle_face_100f,[10104|1000],[10104|1000],[1017|9|1016|1700|1032|1900|1019|4],[1017|9|1016|1700|1032|1900|1019|4],1,,,,,,,,Avatar/Spine/Building/chengjiandating_100,Avatar/Spine/Building/chengjiandating_100f,999|2|5000,[2|314|5],[[2|314|5]],skin_desc_100,30000,100,Building_chengjiandating,-1,2,3,skin_name_100,0,0,worldskin_100,Atlas/UI_Worldskin,worldskin_100f,[0|0],4,160,170,[1-501|1001-9999|10001-99999],[(1|501)|(1001|9999)|(10001|99999)],0,150,-1,-1,,,,-1,-1,-1
