id,effectPositionUI,effectPositionWorld,effectScaleUI,effectScaleWorld,equipAttribute,picAtlas,unlockAttribute,attr_equip,attr_own,conversion_goods,desc,effect,effect_layer,effect_pos_ui,effect_pos_world,effect_scale_ui,effect_scale_world,fightforce,name,pic,pic_atlas,quality,server_list,source_goods
2001,"(0.0, 0.0, 0.0)","(0.3, 0.0, 0.0)","(48.0, 48.0, 48.0)","(0.4, 0.4, 0.4)",{10104:1500},Atlas/UI_Item,{},10104|1500,,999|2|3000,world_effect_desc_001,FX_chengbao_buff,1,0|0,0.325|0,48,39,15000,world_effect_name_001,icon_effect_snow,,5,"1-501,1001-9999,10001-99999",22001
2002,"(0.0, 300.0, 0.0)","(0.0, 2.2, 0.0)","(80.0, 80.0, 80.0)","(0.6, 0.6, 0.6)",{10103:500},Atlas/UI_Worldskin,{10103:200},10103|500,10103|200,999|2|3000,world_effect_desc_002,Fx_chengbao_zsw_yueliang,1,0|300,0|2.2,80,60,15000,world_effect_name_002,icon_effect_2002,Atlas/UI_Worldskin,5,"1-501,1001-9999,10001-99999",22002
2003,"(0.0, 300.0, 0.0)","(-0.1, 2.1, 0.0)","(150.0, 150.0, 150.0)","(1.0, 1.0, 1.0)",{10103:500},Atlas/UI_Worldskin,{10103:200},10103|500,10103|200,999|2|3000,world_effect_desc_003,Fx_chengbao_zsw_huoyan,0,0|300,-0.05|2.1,150,100,15000,world_effect_name_003,icon_effect_2003,Atlas/UI_Worldskin,5,"1-501,1001-9999,10001-99999",22003
2004,"(0.0, 100.0, 0.0)","(-0.1, 1.5, 0.0)","(60.0, 60.0, 60.0)","(0.4, 0.4, 0.4)",{10104:1500},Atlas/UI_Worldskin,{10103:100|1019:1},10104|1500,"10103|100,1019|1",999|2|3000,world_effect_desc_004,FX_SD_yanhua,0,0|100,-0.05|1.5,60,36,15000,world_effect_name_004,icon_effect_2004,Atlas/UI_Worldskin,5,"1-501,1001-9999,10001-99999",22004
2005,"(0.0, 0.0, 0.0)","(-0.1, -0.1, 0.0)","(60.0, 60.0, 60.0)","(0.5, 0.5, 0.5)",{10103:500},Atlas/UI_Worldskin,{},10103|500,,999|2|3000,world_effect_desc_005,FX_V17SJb_ZSW,1,0|0,-0.05|-0.1,60,45,15000,world_effect_name_005,icon_effect_2005,Atlas/UI_Worldskin,5,"1-501,1001-9999,10001-99999",22005
2006,"(0.0, -100.0, 0.0)","(0.0, -0.8, 0.0)","(100.0, 100.0, 100.0)","(0.8, 0.8, 0.8)",{10103:500},Atlas/UI_Worldskin,{10103:100|1019:1},10103|500,"10103|100,1019|1",999|2|3000,world_effect_desc_006,EF_shechengbao_ZSW,1,0|-100,0|-0.75,100,75,15000,world_effect_name_006,icon_effect_2006,Atlas/UI_Worldskin,5,"1-501,1001-9999,10001-99999",22006
2007,"(0.0, 50.0, 0.0)","(0.0, 0.5, 0.0)","(60.0, 60.0, 60.0)","(0.4, 0.4, 0.4)",{10104:1500},Atlas/UI_Worldskin,{10103:100|1019:1},10104|1500,"10103|100,1019|1",999|2|3000,world_effect_desc_007,FX_yijianqingxin,1,0|50,0|0.5,60,40,15000,world_effect_name_007,icon_effect_2007,Atlas/UI_Worldskin,5,"1-501,1001-9999,10001-99999",22007
2008,"(0.0, 260.0, 0.0)","(0.0, 2.2, 0.0)","(65.0, 65.0, 65.0)","(0.5, 0.5, 0.5)",{10103:500},Atlas/UI_Worldskin,{10103:100|1019:1},10103|500,"10103|100,1019|1",999|2|3000,world_effect_desc_008,Fx_chunriji,1,0|260,0|2.2,65,45,15000,world_effect_name_008,icon_effect_2008,Atlas/UI_Worldskin,5,"1-501,1001-9999,10001-99999",22008
2009,"(0.0, -50.0, 0.0)","(-0.1, -0.5, 0.0)","(48.0, 48.0, 48.0)","(0.4, 0.4, 0.4)",{10104:1500},Atlas/UI_Worldskin,{10103:100|1019:1},10104|1500,"10103|100,1019|1",999|2|3000,world_effect_desc_009,Fx_hudie_chengbao,1,0|-50,-0.1|-0.5,48,35,15000,world_effect_name_009,icon_effect_2009,Atlas/UI_Worldskin,5,"1-501,1001-9999,10001-99999",22009
2010,"(0.0, 80.0, 0.0)","(-0.1, 1.2, 0.0)","(55.0, 55.0, 55.0)","(0.4, 0.4, 0.4)",{10103:500},Atlas/UI_Worldskin,{10103:100|1019:1},10103|500,"10103|100,1019|1",999|2|3000,world_effect_desc_010,FX_fuhuojie_yanhua,0,0|80,-0.05|1.2,55,40,15000,world_effect_name_010,icon_effect_2010,Atlas/UI_Worldskin,5,"1-501,1001-9999,10001-99999",22010
