id,equipAttribute,nameOffset,picAtlas,positionOffsetWorld,scaleWorld,unlockAttribute,anim,attr_equip,attr_own,conversion_goods,desc,fightforce,name,name_pos_world,pic,pic_atlas,position1,quality,scale1,scale2,server_list,source_goods
1001,{1052:1000|1002:1000},"(0.0, -50.0, 0.0)",Atlas/UI_Worldskin,"(0.0, 0.0)",0.22,{},900001,"1052|1000,1002|1000",,999|2|3000,skin_desc_1001,30000,skin_name_1001,0|-50,icon_skin_march_1001,Atlas/UI_Worldskin,0|0,5,22,40,"1-501,1001-9999,10001-99999",21001
1002,{1100003:1000|1002:1000},"(0.0, -50.0, 0.0)",Atlas/UI_Worldskin,"(0.0, 0.0)",0.3,{},900002,"1100003|1000,1002|1000",,999|2|3000,skin_desc_1002,30000,skin_name_1002,0|-50,icon_skin_march_1002,Atlas/UI_Worldskin,0|0,5,30,50,"1-501,1001-9999,10001-99999",21002
1003,{10104:1000|1002:1000},"(0.0, -50.0, 0.0)",Atlas/UI_Worldskin,"(0.0, 0.0)",0.4,{},900003,"10104|1000,1002|1000",,999|2|3000,skin_desc_1003,30000,skin_name_1003,0|-50,icon_skin_march_1003,Atlas/UI_Worldskin,0|0,5,40,70,"1-501,1001-9999,10001-99999",21003
1004,{13104:1500|1002:1000},"(0.0, -50.0, 0.0)",Atlas/UI_Worldskin,"(0.0, 0.0)",0.35,{},900004,"13104|1500,1002|1000",,999|2|3000,skin_desc_1004,30000,skin_name_1004,0|-50,icon_skin_march_1004,Atlas/UI_Worldskin,0|0,5,35,60,"1-501,1001-9999,10001-99999",21004
1005,{15104:1500|1002:1000},"(0.0, -50.0, 0.0)",Atlas/UI_Worldskin,"(0.0, 0.0)",0.38,{10104:300},900005,"15104|1500,1002|1000",10104|300,999|2|3000,skin_desc_1005,30000,skin_name_1005,0|-50,icon_skin_march_1005,Atlas/UI_Worldskin,0|0,5,38,65,"1-501,1001-9999,10001-99999",21005
1006,{14104:1500|1002:1000},"(0.0, -50.0, 0.0)",Atlas/UI_Worldskin,"(0.0, 0.0)",0.3,{10104:300},900006,"14104|1500,1002|1000",10104|300,999|2|3000,skin_desc_1006,30000,skin_name_1006,0|-50,icon_skin_march_1006,Atlas/UI_Worldskin,0|0,5,30,50,"1-501,1001-9999,10001-99999",21006
1007,{10104:1000|1002:1000},"(0.0, -50.0, 0.0)",Atlas/UI_Worldskin,"(0.0, 0.0)",0.27,{10104:300},900007,"10104|1000,1002|1000",10104|300,999|2|3000,skin_desc_1007,30000,skin_name_1007,0|-50,icon_skin_march_1007,Atlas/UI_Worldskin,0|0,5,27,45,"1-501,1001-9999,10001-99999",21007
1008,{10104:1000|1002:1000},"(0.0, -50.0, 0.0)",Atlas/UI_Worldskin,"(0.0, 0.0)",0.3,{10104:300},900008,"10104|1000,1002|1000",10104|300,999|2|3000,skin_desc_1008,30000,skin_name_1008,0|-50,icon_skin_march_1008,Atlas/UI_Worldskin,0|0,5,30,50,"1-501,1001-9999,10001-99999",21008
1009,{10104:1000|1002:1000},"(0.0, -50.0, 0.0)",Atlas/UI_Worldskin,"(0.0, 0.0)",0.3,{10104:500},900009,"10104|1000,1002|1000",10104|500,999|2|3000,skin_desc_1009,30000,skin_name_1009,0|-50,icon_skin_march_1009,Atlas/UI_Worldskin,0|0,5,30,50,"1-501,1001-9999,10001-99999",21009
1010,{10104:1000|1002:1000},"(0.0, -50.0, 0.0)",Atlas/UI_Worldskin,"(0.0, 0.0)",0.27,{10104:300},900010,"10104|1000,1002|1000",10104|300,999|2|3000,skin_desc_1010,30000,skin_name_1010,0|-50,icon_skin_march_1010,Atlas/UI_Worldskin,0|0,5,27,45,"1-501,1001-9999,10001-99999",21010
1011,{10104:1000|1002:1000},"(0.0, -50.0, 0.0)",Atlas/UI_Worldskin,"(0.0, 0.0)",0.3,{10104:500},900011,"10104|1000,1002|1000",10104|500,999|2|3000,skin_desc_1011,30000,crossover_rss_name2,0|-50,icon_skin_march_1011,Atlas/UI_Worldskin,0|0,5,30,50,"1-501,1001-9999,10001-99999",21011
1012,{15104:2000|1002:1500},"(0.0, -50.0, 0.0)",Atlas/UI_Worldskin,"(0.0, 0.0)",0.3,{10104:500|15103:1000},900012,"15104|2000,1002|1500","10104|500,15103|1000",999|2|3000,skin_desc_1012,50000,skin_name_1012,0|-50,icon_skin_march_1012,Atlas/UI_Worldskin,0|0,6,30,50,"1-501,1001-9999,10001-99999",21012
1013,{14104:2000|1002:1500},"(0.0, -50.0, 0.0)",Atlas/UI_Worldskin,"(0.0, 0.0)",0.3,{10103:500|14103:1000},900013,"14104|2000,1002|1500","10103|500,14103|1000",999|2|3000,skin_desc_1013,50000,skin_name_1013,0|-50,icon_skin_march_1013,Atlas/UI_Worldskin,0|0,6,30,50,"1-501,1001-9999,10001-99999",21013
1014,{13104:2000|1002:1500},"(0.0, -50.0, 0.0)",Atlas/UI_Worldskin,"(0.0, 0.0)",0.3,{10103:500|13103:1000},900014,"13104|2000,1002|1500","10103|500,13103|1000",999|2|3000,skin_desc_1014,50000,skin_name_1014,0|-50,icon_skin_march_1014,Atlas/UI_Worldskin,0|0,6,30,50,"1-501,1001-9999,10001-99999",21014
1015,{10104:1000|1002:1000},"(0.0, -50.0, 0.0)",Atlas/UI_Worldskin,"(0.0, 0.0)",0.3,{10104:500},900020,"10104|1000,1002|1000",10104|500,999|2|3000,skin_desc_1015,45000,skin_name_1015,0|-50,icon_skin_march_1015,Atlas/UI_Worldskin,0|0,5,30,65,"1-501,1001-9999,10001-99999",604092020
1016,{10104:1000|1002:1000},"(0.0, -50.0, 0.0)",Atlas/UI_Worldskin,"(-2.5, 0.0)",0.3,{},900019,"10104|1000,1002|1000",,999|2|3000,skin_desc_1016,50000,skin_name_1016,0|-50,icon_skin_march_1016,Atlas/UI_Worldskin,-2.45|0,7,30,50,"1-501,1001-9999,10001-10728",21016
1017,{10104:1000|1002:1000},"(0.0, -50.0, 0.0)",Atlas/UI_Worldskin,"(0.0, 0.0)",0.3,{10104:500},900021,"10104|1000,1002|1000",10104|500,999|2|3000,skin_desc_1017,45000,skin_name_1017,0|-50,icon_skin_march_1017,Atlas/UI_Worldskin,0|0,5,30,50,"1-501,1001-9999,10001-99999",21017
