id,castSkillTime,scale,skillDisappearTime,buff_start_time,desc,effect,effect_end_time,effect_pos,effect_scale,effect_start_time,name,offsetX,offsetY,resetGroup,resetTimes,resetType,skill_effect_end,skill_effect_start
211001,4,1.8,4,100,world_skin_skill_211,"1|0|211001,2|3|211002",400,[0|0],180,400,skin_name_211,0,0,211,1,1,castle_face_211_skill,castle_face_211_skill
211021,4,1.8,4,100,world_skin_skill_211_lv2,"1|0|211021,2|4|211022",400,[0|0],180,400,skin_name_211,0,0,211,2,1,castle_face_211_lv2_skill,castle_face_211_lv2_skill
213001,8,1.8,-0.01,800,world_skin_skill_213,1|0|213001,-1,[0|0],180,800,skin_name_213,0,0,213,5,1,castle_face_213_skill,castle_face_213_skill
213021,8,1.8,-0.01,800,world_skin_skill_213_lv2,1|0|213021,-1,[0|0],180,800,skin_name_213,0,0,213,8,1,castle_face_213_lv2_skill,castle_face_213_lv2_skill
231001,1,1.8,-0.01,100,world_skin_skill_231,1|0|231001,-1,[0|0],180,100,skin_name_231,0,0,231,1,1,castle_face_231,castle_face_231
231021,1,1.8,-0.01,100,world_skin_skill_231_lv2,1|0|231021,-1,[0|0],180,100,skin_name_231,0,0,231,2,1,castle_face_231_lv2,castle_face_231_lv2
241001,10,1.75,4,700,world_skin_skill_241,"1|0|241001,2|3|241002",400,[0|0],175,1000,skin_name_241,0,0,241,1,1,castle_face_241_skill,castle_face_241_skill
241021,10,1.75,4,700,world_skin_skill_241_lv2,"1|0|241021,2|4|241022",400,[0|0],175,1000,skin_name_241,0,0,241,2,1,castle_face_241_lv2_skill,castle_face_241_lv2_skill
271001,12,1.8,-0.01,1200,world_skin_skill_271,1|0|271001,-1,[0|0],180,1200,skin_name_271,0,0,271,2,1,castle_face_271_skill_end,castle_face_271_skill
271021,3,1.8,-0.01,100,world_skin_skill_271_lv2,1|0|271021,-1,[0|0],180,300,skin_name_271,0,0,271,3,1,castle_face_271_lv2,castle_face_271_lv2
306001,22,1.85,-0.01,2200,world_skin_skill_306,1|0|306001,-1,[0|0],185,2200,skin_name_306,0,0,306,2,1,castle_face_306,castle_face_306_skill
307001,5,1.9,-0.01,500,world_skin_skill_307,1|0|307001,-1,[0|0],190,500,skin_name_307,0,0,307,1,1,castle_face_307,castle_face_307
307021,5,1.9,-0.01,500,world_skin_skill_307_lv2,1|0|307021,-1,[0|0],190,500,skin_name_307,0,0,307,2,1,castle_face_307_lv2,castle_face_307_lv2
311001,1,1.85,-0.01,100,world_skin_skill_311,1|0|311001,-1,[0|0],185,100,skin_name_311,0,0,311,2,1,castle_face_311,castle_face_311
311003,1,1.85,-0.01,100,world_skin_skill_311_star5,1|0|311003,-1,[0|0],185,100,skin_name_311,0,0,311,2,1,castle_face_311,castle_face_311
311004,1,1.85,-0.01,100,world_skin_skill_311_star10,1|0|311004,-1,[0|0],185,100,skin_name_311,0,0,311,2,1,castle_face_311,castle_face_311
309001,1,1.85,-0.01,100,world_skin_skill_309,1|1,-1,[0|0],185,100,skin_name_309,0,0,309,1,1,castle_face_309,castle_face_309
309021,1,1.85,-0.01,100,world_skin_skill_309_lv2,2|1,-1,[0|0],185,100,skin_name_309,0,0,309,1,1,castle_face_309,castle_face_309
310001,1,1.85,-0.01,100,world_skin_skill_310,1|0|310001,-1,[0|0],185,100,skin_name_310,0,0,310,2,1,castle_face_310,castle_face_310
310021,1,1.85,-0.01,100,world_skin_skill_310_lv2,1|0|310021,-1,[0|0],185,100,skin_name_310,0,0,310,3,1,castle_face_310_lv2,castle_face_310_lv2
313001,1,1.85,-0.01,100,world_skin_skill_313,1|0|313001,-1,[0|0],185,100,skin_name_313,0,0,313,1,1,castle_face_313,castle_face_313
317001,1,1.85,-0.01,100,world_skin_skill_317_2,505149000|3115|3|1|317|1,-1,[0|0],185,100,skin_name_317,0,0,3171,3,1,castle_face_317,castle_face_317
317021,1,1.85,-0.01,100,world_skin_skill_317_new_other,605112000|3115|3|1|317|2,-1,[0|0],185,100,skin_name_317_lv2,0,0,3171,3,1,castle_face_317,castle_face_317
317002,1,1.85,-0.01,100,world_skin_skill_317,505149000,-1,[0|0],185,100,skin_name_317,0,0,3172,1,1,castle_face_317,castle_face_317
317022,1,1.85,-0.01,100,world_skin_skill_317_2_lv2_me,605122000,-1,[0|0],185,100,skin_name_317_lv2,0,0,3172,1,1,castle_face_317,castle_face_317
318001,21,1.85,-0.01,1900,world_skin_skill_318,1|0|318001,-1,[0|0],185,2100,skin_name_318,0,0,318,2,1,castle_face_318,castle_face_318_skill
318002,21,1.85,-0.01,1900,world_skin_skill_318_lv2,1|0|318002,-1,[0|0],185,2100,skin_name_318,0,0,318,3,1,castle_face_318_lv2,castle_face_318_lv2
2016001,4,1.8,4,100,world_skin_skill_2016,"1|0|2016001,2|3|2016002",400,[0|0],180,400,world_effect_name_016,0,0,2016,3,1,Fx_qingrenji_2026_daiji,Fx_qingrenji_2026_daiji
321001,-0.01,1.75,-0.01,1900,world_skin_skill_321,"1|0|321001,2|3|321002",-1,[0|0],175,-1,skin_name_321,0,0,321,1,1,,
322001,1,1.85,-0.01,100,world_skin_skill_3221,3|1,-1,[0|0],185,100,skin_name_3221,0,0,322,1,1,castle_face_322,castle_face_322
323001,-0.01,1.75,-0.01,1900,world_skin_skill_323,"1|0|323001,2|3|323002",-1,[0|0],175,-1,skin_name_323,0,0,323,1,1,,
324001,-0.01,1.75,-0.01,-1,world_skin_skill_324,"1|0|324001,2|3|324002",-1,[0|0],175,-1,skin_name_324,0,0,324,1,1,,
326001,-0.01,-0.01,-0.01,-1,world_skin_skill_326,1|0|326001,-1,,-1,-1,skin_name_326,0,0,326,2,1,,
