id,attack_cd,attack_para,born_time,boss_attacked_cd,boss_id,boss_move_target_rank,boss_name,component,defence_reduce,donate_water_energy_cost,energy_single_cost,exist_time,max_march_time,move_cd,rally_energy_cost,rally_time,scale,small_worm_speed,stage_1_damage,stage_1_hp,stage_2_hp,troop_reduce,water_cost,water_reduce
1,300,"100|10,30|5",0,120,62006,10,worm_boss_name,[6024601|6024602|6024603|6024604|6024605],2000,0,-1,14400,30,7200,-1,[60|180|300|1800],3|3,0,25,100000000,100000000000,2,300,3200
2,300,"100|10,30|5",8,120,62006,10,worm_boss_name,[6024601|6024602|6024603|6024604|6024605],2000,0,-1,14400,30,7200,-1,[60|180|300|1800],3|3,0,25,100000000,100000000000,2,300,3200
3,300,"100|10,30|5",16,120,62006,10,worm_boss_name,[6024601|6024602|6024603|6024604|6024605],2000,0,-1,14400,30,7200,-1,[60|180|300|1800],3|3,0,25,100000000,100000000000,2,300,3200
4,300,"100|10,30|5",0,120,62006,10,worm_boss_name,[6031903|6031907|6031908|6031909],2000,-1,-1,14400,30,7200,-1,[60|180|300|1800],3|3,0,25,100000000,100000000000,2,-1,-1
5,300,"100|10,30|5",8,120,62006,10,worm_boss_name,[6031903|6031907|6031908|6031909],2000,-1,-1,14400,30,7200,-1,[60|180|300|1800],3|3,0,25,100000000,100000000000,2,-1,-1
6,300,"100|10,30|5",16,120,62006,10,worm_boss_name,[6031903|6031907|6031908|6031909],2000,-1,-1,14400,30,7200,-1,[60|180|300|1800],3|3,0,25,100000000,100000000000,2,-1,-1
7,300,"100|10,30|5",0,120,62006,10,worm_boss_name,[6036403|60364036|6036407|6036408],2000,-1,-1,14400,30,7200,-1,[60|180|300|1800],3|3,0,100,100000000,100000000000,2,-1,-1
8,300,"100|10,30|5",8,120,62006,10,worm_boss_name,[6036403|60364036|6036407|6036408],2000,-1,-1,14400,30,7200,-1,[60|180|300|1800],3|3,0,100,100000000,100000000000,2,-1,-1
9,300,"100|10,30|5",16,120,62006,10,worm_boss_name,[6036403|60364036|6036407|6036408],2000,-1,-1,14400,30,7200,-1,[60|180|300|1800],3|3,0,100,100000000,100000000000,2,-1,-1
11,300,"100|10,30|5",0,120,62006,10,worm_boss_name,[6024601|6024602|6024603|6024604|6024605],2000,0,-1,14400,30,7200,-1,[60|180|300|1800],3|3,0,25,100000000,100000000000,2,300,3200
12,300,"100|10,30|5",8,120,62006,10,worm_boss_name,[6024601|6024602|6024603|6024604|6024605],2000,0,-1,14400,30,7200,-1,[60|180|300|1800],3|3,0,25,100000000,100000000000,2,300,3200
13,300,"100|10,30|5",16,120,62006,10,worm_boss_name,[6024601|6024602|6024603|6024604|6024605],2000,0,-1,14400,30,7200,-1,[60|180|300|1800],3|3,0,25,100000000,100000000000,2,300,3200
14,300,"100|10,30|5",0,120,62006,10,worm_boss_name,[6031903|6031907|6031908|6031909],2000,-1,-1,14400,30,7200,-1,[60|180|300|1800],3|3,0,25,100000000,100000000000,2,-1,-1
15,300,"100|10,30|5",8,120,62006,10,worm_boss_name,[6031903|6031907|6031908|6031909],2000,-1,-1,14400,30,7200,-1,[60|180|300|1800],3|3,0,25,100000000,100000000000,2,-1,-1
16,300,"100|10,30|5",16,120,62006,10,worm_boss_name,[6031903|6031907|6031908|6031909],2000,-1,-1,14400,30,7200,-1,[60|180|300|1800],3|3,0,25,100000000,100000000000,2,-1,-1
17,300,"100|10,30|5",0,120,62006,10,worm_boss_name,[6036403|60364036|6036407|6036408],2000,-1,-1,14400,30,7200,-1,[60|180|300|1800],3|3,0,25,100000000,100000000000,2,-1,-1
18,300,"100|10,30|5",8,120,62006,10,worm_boss_name,[6036403|60364036|6036407|6036408],2000,-1,-1,14400,30,7200,-1,[60|180|300|1800],3|3,0,25,100000000,100000000000,2,-1,-1
19,300,"100|10,30|5",16,120,62006,10,worm_boss_name,[6036403|60364036|6036407|6036408],2000,-1,-1,14400,30,7200,-1,[60|180|300|1800],3|3,0,25,100000000,100000000000,2,-1,-1
20,300,"100|10,30|5",0,120,62006,10,worm_boss_name,[6042801|6042802|6042803|6042804],2000,-1,-1,14400,30,7200,-1,[60|180|300|1800],3|3,0,100,100000000,100000000000,2,-1,-1
21,300,"100|10,30|5",8,120,62006,10,worm_boss_name,[6042801|6042802|6042803|6042804],2000,-1,-1,14400,30,7200,-1,[60|180|300|1800],3|3,0,100,100000000,100000000000,2,-1,-1
22,300,"100|10,30|5",16,120,62006,10,worm_boss_name,[6042801|6042802|6042803|6042804],2000,-1,-1,14400,30,7200,-1,[60|180|300|1800],3|3,0,100,100000000,100000000000,2,-1,-1
